SymbC1.scaffold1.1092
SymbC1.scaffold1.1096
SymbC1.scaffold1.1183
SymbC1.scaffold1.1509
SymbC1.scaffold1.1759
SymbC1.scaffold1.377
SymbC1.scaffold1.437
SymbC1.scaffold1.466
SymbC1.scaffold1.529
SymbC1.scaffold1.883
SymbC1.scaffold1.914
SymbC1.scaffold1.928
SymbC1.scaffold100.10
SymbC1.scaffold100.12
SymbC1.scaffold100.16
SymbC1.scaffold1000.8
SymbC1.scaffold10014.1
SymbC1.scaffold1002.6
SymbC1.scaffold10029.1
SymbC1.scaffold1003.14
SymbC1.scaffold10042.3
SymbC1.scaffold10057.1
SymbC1.scaffold10059.1
SymbC1.scaffold1006.4
SymbC1.scaffold10075.3
SymbC1.scaffold10087.3
SymbC1.scaffold1009.3
SymbC1.scaffold1012.3
SymbC1.scaffold1012.4
SymbC1.scaffold10121.3
SymbC1.scaffold1013.2
SymbC1.scaffold1013.3
SymbC1.scaffold1014.1
SymbC1.scaffold10140.2
SymbC1.scaffold10141.2
SymbC1.scaffold10141.3
SymbC1.scaffold1015.1
SymbC1.scaffold10164.1
SymbC1.scaffold10164.2
SymbC1.scaffold10165.1
SymbC1.scaffold1017.1
SymbC1.scaffold10182.1
SymbC1.scaffold10183.1
SymbC1.scaffold10183.3
SymbC1.scaffold1019.1
SymbC1.scaffold1019.9
SymbC1.scaffold10190.2
SymbC1.scaffold102.3
SymbC1.scaffold1020.5
SymbC1.scaffold10200.2
SymbC1.scaffold10203.2
SymbC1.scaffold10208.4
SymbC1.scaffold1021.3
SymbC1.scaffold10210.3
SymbC1.scaffold10212.1
SymbC1.scaffold1022.4
SymbC1.scaffold10224.1
SymbC1.scaffold1023.13
SymbC1.scaffold1023.9
SymbC1.scaffold10233.1
SymbC1.scaffold10233.2
SymbC1.scaffold10234.1
SymbC1.scaffold10239.2
SymbC1.scaffold1024.7
SymbC1.scaffold10246.1
SymbC1.scaffold10246.3
SymbC1.scaffold1025.2
SymbC1.scaffold1025.3
SymbC1.scaffold1027.1
SymbC1.scaffold1027.9
SymbC1.scaffold10274.2
SymbC1.scaffold10276.1
SymbC1.scaffold1028.10
SymbC1.scaffold1028.12
SymbC1.scaffold10281.1
SymbC1.scaffold10288.1
SymbC1.scaffold10296.1
SymbC1.scaffold103.12
SymbC1.scaffold103.2
SymbC1.scaffold10302.3
SymbC1.scaffold10307.2
SymbC1.scaffold1031.2
SymbC1.scaffold1031.5
SymbC1.scaffold1032.2
SymbC1.scaffold1032.7
SymbC1.scaffold10321.2
SymbC1.scaffold10327.1
SymbC1.scaffold1033.2
SymbC1.scaffold10350.2
SymbC1.scaffold10363.1
SymbC1.scaffold10365.2
SymbC1.scaffold1037.39
SymbC1.scaffold10375.2
SymbC1.scaffold10375.3
SymbC1.scaffold10375.4
SymbC1.scaffold1038.10
SymbC1.scaffold1038.5
SymbC1.scaffold1038.9
SymbC1.scaffold10381.2
SymbC1.scaffold10383.1
SymbC1.scaffold10384.2
SymbC1.scaffold10385.1
SymbC1.scaffold10388.2
SymbC1.scaffold10392.2
SymbC1.scaffold10392.4
SymbC1.scaffold10395.3
SymbC1.scaffold10397.1
SymbC1.scaffold1040.2
SymbC1.scaffold10404.1
SymbC1.scaffold10417.1
SymbC1.scaffold1042.4
SymbC1.scaffold10425.1
SymbC1.scaffold10426.2
SymbC1.scaffold1043.3
SymbC1.scaffold10443.1
SymbC1.scaffold1045.1
SymbC1.scaffold1046.2
SymbC1.scaffold1047.1
SymbC1.scaffold1048.3
SymbC1.scaffold10493.1
SymbC1.scaffold10496.3
SymbC1.scaffold105.2
SymbC1.scaffold105.3
SymbC1.scaffold1050.5
SymbC1.scaffold10507.2
SymbC1.scaffold1051.3
SymbC1.scaffold10512.2
SymbC1.scaffold10521.1
SymbC1.scaffold10529.2
SymbC1.scaffold1054.2
SymbC1.scaffold1055.1
SymbC1.scaffold10557.2
SymbC1.scaffold1056.5
SymbC1.scaffold1057.2
SymbC1.scaffold1057.6
SymbC1.scaffold10589.1
SymbC1.scaffold1059.5
SymbC1.scaffold10599.1
SymbC1.scaffold1061.1
SymbC1.scaffold1061.4
SymbC1.scaffold10623.1
SymbC1.scaffold10637.2
SymbC1.scaffold10638.2
SymbC1.scaffold10639.2
SymbC1.scaffold10648.2
SymbC1.scaffold10649.1
SymbC1.scaffold10659.2
SymbC1.scaffold10665.1
SymbC1.scaffold10668.1
SymbC1.scaffold1067.11
SymbC1.scaffold1067.6
SymbC1.scaffold10673.1
SymbC1.scaffold10674.1
SymbC1.scaffold10687.1
SymbC1.scaffold10687.3
SymbC1.scaffold1069.2
SymbC1.scaffold10692.1
SymbC1.scaffold10696.1
SymbC1.scaffold10698.4
SymbC1.scaffold10701.1
SymbC1.scaffold10705.1
SymbC1.scaffold1071.1
SymbC1.scaffold1071.2
SymbC1.scaffold10725.1
SymbC1.scaffold10729.1
SymbC1.scaffold10733.1
SymbC1.scaffold10742.1
SymbC1.scaffold10747.2
SymbC1.scaffold1075.5
SymbC1.scaffold10755.1
SymbC1.scaffold1076.4
SymbC1.scaffold1077.8
SymbC1.scaffold10776.1
SymbC1.scaffold10778.3
SymbC1.scaffold10778.4
SymbC1.scaffold10779.1
SymbC1.scaffold10783.1
SymbC1.scaffold1079.3
SymbC1.scaffold10795.1
SymbC1.scaffold108.7
SymbC1.scaffold10801.2
SymbC1.scaffold10803.2
SymbC1.scaffold10806.2
SymbC1.scaffold10812.2
SymbC1.scaffold10819.2
SymbC1.scaffold1082.3
SymbC1.scaffold1082.6
SymbC1.scaffold10830.1
SymbC1.scaffold10842.1
SymbC1.scaffold1087.15
SymbC1.scaffold1087.6
SymbC1.scaffold10877.1
SymbC1.scaffold1088.3
SymbC1.scaffold10889.1
SymbC1.scaffold10895.1
SymbC1.scaffold1090.10
SymbC1.scaffold1091.3
SymbC1.scaffold10916.1
SymbC1.scaffold10927.1
SymbC1.scaffold10950.2
SymbC1.scaffold10953.2
SymbC1.scaffold10958.1
SymbC1.scaffold10964.3
SymbC1.scaffold1097.5
SymbC1.scaffold1097.8
SymbC1.scaffold10976.1
SymbC1.scaffold1098.3
SymbC1.scaffold1098.4
SymbC1.scaffold1099.3
SymbC1.scaffold11.223
SymbC1.scaffold11.224
SymbC1.scaffold11.232
SymbC1.scaffold11.371
SymbC1.scaffold11.684
SymbC1.scaffold110.5
SymbC1.scaffold11004.1
SymbC1.scaffold11008.2
SymbC1.scaffold1101.6
SymbC1.scaffold11019.1
SymbC1.scaffold11028.1
SymbC1.scaffold11036.1
SymbC1.scaffold11041.1
SymbC1.scaffold11062.1
SymbC1.scaffold11071.1
SymbC1.scaffold11103.2
SymbC1.scaffold1111.5
SymbC1.scaffold1111.7
SymbC1.scaffold1113.2
SymbC1.scaffold11130.1
SymbC1.scaffold11134.1
SymbC1.scaffold11145.1
SymbC1.scaffold1115.4
SymbC1.scaffold11154.2
SymbC1.scaffold11156.1
SymbC1.scaffold1116.11
SymbC1.scaffold11160.1
SymbC1.scaffold11169.1
SymbC1.scaffold11171.1
SymbC1.scaffold11172.1
SymbC1.scaffold1118.5
SymbC1.scaffold11180.1
SymbC1.scaffold11187.1
SymbC1.scaffold112.10
SymbC1.scaffold1120.1
SymbC1.scaffold11209.2
SymbC1.scaffold1122.3
SymbC1.scaffold1122.4
SymbC1.scaffold11223.1
SymbC1.scaffold1123.7
SymbC1.scaffold11253.1
SymbC1.scaffold1129.2
SymbC1.scaffold1129.5
SymbC1.scaffold1131.1
SymbC1.scaffold1131.4
SymbC1.scaffold11310.1
SymbC1.scaffold11315.1
SymbC1.scaffold1132.5
SymbC1.scaffold11327.1
SymbC1.scaffold11327.2
SymbC1.scaffold11344.2
SymbC1.scaffold1135.3
SymbC1.scaffold11350.1
SymbC1.scaffold11354.1
SymbC1.scaffold11365.1
SymbC1.scaffold1138.4
SymbC1.scaffold1138.7
SymbC1.scaffold11382.1
SymbC1.scaffold1139.3
SymbC1.scaffold1139.8
SymbC1.scaffold11395.1
SymbC1.scaffold114.4
SymbC1.scaffold11402.1
SymbC1.scaffold1141.8
SymbC1.scaffold11424.1
SymbC1.scaffold11427.1
SymbC1.scaffold1143.1
SymbC1.scaffold11448.1
SymbC1.scaffold11449.1
SymbC1.scaffold1145.5
SymbC1.scaffold11457.1
SymbC1.scaffold1146.2
SymbC1.scaffold1146.5
SymbC1.scaffold1146.6
SymbC1.scaffold11465.1
SymbC1.scaffold11478.1
SymbC1.scaffold1150.1
SymbC1.scaffold1150.4
SymbC1.scaffold11519.1
SymbC1.scaffold1152.2
SymbC1.scaffold11533.1
SymbC1.scaffold11537.1
SymbC1.scaffold11537.2
SymbC1.scaffold11540.1
SymbC1.scaffold11546.2
SymbC1.scaffold11548.2
SymbC1.scaffold11552.1
SymbC1.scaffold11562.1
SymbC1.scaffold11570.2
SymbC1.scaffold11581.1
SymbC1.scaffold1159.3
SymbC1.scaffold1159.5
SymbC1.scaffold1159.8
SymbC1.scaffold11590.1
SymbC1.scaffold116.1
SymbC1.scaffold116.5
SymbC1.scaffold1160.4
SymbC1.scaffold1161.2
SymbC1.scaffold11619.1
SymbC1.scaffold1162.1
SymbC1.scaffold1162.6
SymbC1.scaffold11625.2
SymbC1.scaffold1163.1
SymbC1.scaffold1163.8
SymbC1.scaffold1165.4
SymbC1.scaffold1165.8
SymbC1.scaffold1165.9
SymbC1.scaffold11667.1
SymbC1.scaffold11672.3
SymbC1.scaffold1169.10
SymbC1.scaffold1169.14
SymbC1.scaffold1169.15
SymbC1.scaffold11693.1
SymbC1.scaffold11697.1
SymbC1.scaffold11699.1
SymbC1.scaffold1170.3
SymbC1.scaffold11706.1
SymbC1.scaffold1172.3
SymbC1.scaffold11743.1
SymbC1.scaffold11750.1
SymbC1.scaffold1176.1
SymbC1.scaffold11769.1
SymbC1.scaffold1177.10
SymbC1.scaffold1177.3
SymbC1.scaffold11771.1
SymbC1.scaffold11775.2
SymbC1.scaffold11784.1
