Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
pex6,157,171,193,186,113,105,116,226,103,262,100,160
PF07_0047,0,0,0,0,0,0,4,5,3,3,1,1
PF10_0264,79,64,79,124,48,52,51,120,49,78,25,61
PF11_0240,10,8,16,7,6,5,43,93,60,34,4,17
PF13_0198,524,760,988,1233,622,455,515,1026,481,1168,309,489
PF14_0175,7,23,25,38,17,11,27,35,18,45,4,16
pfdn5,4,2,11,17,16,13,4,12,10,32,3,7
PFK4,2,2,1,6,1,1,2,0,0,0,2,0
PFK5,51,65,71,57,43,39,50,111,56,105,36,54
pfkb-1.2,34,58,50,39,51,37,17,37,25,60,17,25
Pfn,21,38,41,51,28,22,1,7,1,45,3,2
PFOR,373,506,576,635,356,378,300,664,284,720,186,279
PFP-ALPHA1,7,11,14,9,16,9,5,11,2,23,0,0
PFP-BETA1,5,8,5,3,8,5,51,116,52,55,32,69
PFP-BETA2,7,12,12,25,6,3,5,9,2,4,1,1
pfyP,60,58,53,81,42,39,27,62,20,53,9,23
PGA,258,325,379,393,238,183,153,307,194,491,105,140
PGA4,28,42,48,61,39,17,16,47,25,61,14,14
Pga5,110,107,111,240,143,107,125,236,137,307,86,103
pgam5,1,2,3,2,0,0,4,5,1,2,0,4
Pgc,57,102,117,157,71,41,61,86,43,152,23,40
pgdA,0,0,0,0,0,0,1,3,2,4,1,0
PGH1,20,23,35,31,25,14,8,14,13,82,7,11
PGIC1,14,35,38,29,16,19,15,48,21,30,9,18
PGK,407,438,370,416,220,179,223,421,253,558,135,205
pgk-1,970,1042,1125,1956,934,824,722,1380,726,1586,429,669
PGK2,255,265,374,568,291,195,144,272,127,419,80,141
pgl,3,3,4,7,4,0,5,15,8,6,5,1
PGM,0,3,5,8,2,5,3,3,2,6,0,3
PGP,2,1,4,3,3,5,6,5,4,10,5,2
Pgrmc2,23,30,41,41,21,5,15,28,16,30,5,8
PGSIP6,18,23,32,27,17,12,11,10,4,18,2,5
pgtA,2,8,10,16,13,17,16,38,30,28,8,16
PH1,58,46,41,122,70,83,54,121,51,150,11,21
PHATRDRAFT_32390,16,23,30,35,17,7,6,15,3,15,4,3
PHATRDRAFT_49403,18,12,12,14,6,4,13,18,17,22,6,9
PHB4,121,101,132,153,82,56,44,99,53,131,26,45
PHKG2,34,23,44,40,26,20,21,48,29,86,20,25
PHM7,10,14,30,41,24,16,26,44,18,50,8,10
phnW,48,61,50,76,39,31,22,62,45,59,20,14
PHO91,30,34,34,42,27,23,19,47,31,62,9,23
phoB,27,49,43,25,25,23,11,22,10,24,10,7
PHOT1A,27,44,66,62,34,33,24,69,34,80,15,27
phrA,5,14,17,10,7,6,10,18,12,27,5,9
Phrf1,11,5,7,14,7,9,18,39,25,14,9,12
PHT1-13,53,66,72,113,74,41,32,76,49,127,36,33
PHT1-6,58,58,69,67,42,35,40,72,43,110,14,30
pht4,20,13,18,24,11,10,31,33,25,54,16,21
PHT4;4,28,34,53,65,33,22,13,54,17,56,5,10
phyA,2,1,2,0,5,2,1,5,3,2,0,0
PI4KG3,10,17,25,38,16,8,9,12,3,10,5,5
PI4KG5,92,103,98,210,140,107,84,127,85,207,47,64
PI4KG6,38,39,89,96,48,31,34,55,36,95,18,29
PIF1,34,22,23,33,14,8,9,14,2,14,2,6
pigC,14,13,20,8,13,3,4,8,2,11,3,1
PIH1D1,21,15,25,28,13,9,4,19,15,29,3,9
Pik3cb,7,28,30,32,20,9,17,32,12,50,19,20
pikAI,92,115,111,170,92,82,43,134,47,117,34,41
pikAII,0,0,1,1,0,0,0,0,0,1,1,0
pikAIII,4,8,3,5,2,0,0,0,0,2,0,0
pikAIV,10,9,15,13,5,3,2,9,2,9,3,0
pikD,16,32,39,23,17,13,18,25,18,38,7,19
piki-1,7,24,18,29,10,3,19,37,17,33,9,27
PIN1,55,33,57,53,39,29,40,61,39,81,16,32
pip,30,15,23,33,16,27,29,46,36,42,8,14
PIP4K2B,84,88,90,112,49,52,37,57,45,123,14,26
PIP5K1,109,113,166,151,89,58,70,95,47,116,20,35
PIP5K1B,11,21,17,18,9,14,14,28,22,24,9,11
PIP5K2,14,15,27,48,34,16,18,33,15,49,13,17
PIP5K4,46,89,108,136,109,65,42,100,53,114,30,59
PIP5K5,23,23,32,43,18,12,3,12,6,20,0,8
PIP5K6,4,11,14,12,10,17,2,3,4,16,0,4
PIP5K8,29,28,58,59,31,26,35,63,35,99,7,34
PIP5K9,97,117,130,169,97,85,103,202,103,223,43,98
Pip5kl1,25,37,45,49,11,14,14,28,8,27,1,9
pipD,39,54,68,85,43,26,32,76,41,78,24,39
PIS1,40,35,38,55,23,28,5,18,8,71,10,14
PITG_14852,60,54,62,62,29,27,19,48,22,70,16,27
pkaA,11,8,8,18,10,15,6,4,3,9,4,3
pkaR,271,343,382,425,264,207,313,604,293,675,167,251
pkar1,91,86,102,138,73,66,40,95,63,141,23,25
PKD2,245,353,425,471,229,220,290,592,310,804,213,270
Pkd2l1,57,85,89,137,63,59,6,15,8,143,7,16
Pkg21D,40,47,67,63,49,38,47,104,56,93,35,51
