Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
infB,267,354,447,247,478,310,299,236,243,522,181
inlA,143,177,218,117,205,151,135,117,119,287,100
IRX7,108,146,125,60,86,35,51,41,44,89,27
K07C11.7,870,1060,1136,964,1088,304,698,294,378,624,247
katG,299,351,315,292,296,151,184,169,172,289,128
KCNB2,157,234,224,195,220,61,124,40,57,99,34
Kcnh1,187,244,291,209,287,94,189,116,119,231,58
KCNH2,339,449,434,353,358,170,233,151,187,347,118
Kcnh5,282,365,354,224,309,177,203,192,197,391,113
Kcnh6,469,588,660,452,626,289,416,249,286,606,202
Kcnh7,443,617,616,432,586,252,402,254,253,542,171
KDELC1,38,39,40,63,69,16,37,24,19,56,35
KDM1B,150,187,147,101,98,103,68,66,96,226,54
Ken-052,43,62,60,49,57,24,36,26,66,45,38
Khc,68,103,109,95,139,79,110,84,92,186,56
Khsrp,84,101,90,74,104,465,233,493,539,921,370
KIDINS220,232,272,256,239,205,95,159,106,96,226,63
kif1,591,771,764,672,878,324,556,282,319,676,237
KIF13B,283,383,382,326,454,187,321,159,172,435,112
kif19,565,684,602,530,629,219,386,246,246,529,157
Kif3a,703,832,898,651,886,275,562,321,313,619,223
KIN10,253,326,311,231,306,185,212,168,200,366,111
KIN14E,40,61,54,116,146,18,81,13,18,45,15
Klc1,1017,1106,1071,1170,1076,575,796,612,584,1061,344
KLC3,81,84,71,85,80,43,64,28,31,65,19
KLHL12,84,108,104,65,117,57,64,57,69,131,40
Klhl17,104,118,106,66,91,16,55,19,31,42,15
KLHL24,62,67,78,26,20,11,16,20,15,21,7
kmo,124,191,166,157,174,64,128,49,61,147,58
L96,1671,1989,1923,2317,2419,1219,1615,1171,1211,2434,884
lacC,215,243,295,175,242,146,147,118,120,275,75
Lace1,378,428,454,312,346,209,261,218,203,396,117
Lamb2,790,835,794,750,815,242,511,340,273,522,185
