gene,logP
pdam_00000001,-0.456883774433003
pdam_00000002,-3.44193051848627
pdam_00000003,-1.64059731224869
pdam_00000005,0.00333956153252556
pdam_00000006,-3.23603803561721
pdam_00000007,-1.34492328147268
pdam_00000008,-1.3338541971595
pdam_00000009,-2.3150283152464
pdam_00000010,0.220520376585291
pdam_00000011,-0.52440784941841
pdam_00000012,-1.07120690878879
pdam_00000013,-3.60045761905661
pdam_00000014,-0.126790424317584
pdam_00000015,1.89568359836373
pdam_00000016,-0.341276715755249
pdam_00000017,-0.905911158350855
pdam_00000018,-0.362741909052575
pdam_00000020,-0.936511352121868
pdam_00000021,7.67853474082359
pdam_00000022,0.401246476481983
pdam_00000023,0.27693629159386
pdam_00000024,1.05395141719501
pdam_00000025,0.665715990197773
pdam_00000026,-1.21439583408289
pdam_00000027,0.55537821973097
pdam_00000028,0.677772428861661
pdam_00000029,3.35113046754559
pdam_00000030,0.226352637108714
pdam_00000031,0.168465461213885
pdam_00000032,0.0509600915114144
pdam_00000033,-0.197967808271579
pdam_00000035,0.368865104878913
pdam_00000037,0.300137307550302
pdam_00000039,-0.602811328899173
pdam_00000041,-0.25485430727834
pdam_00000042,4.3347483784025
pdam_00000043,-0.164153142403217
pdam_00000044,-1.16474240778762
pdam_00000045,3.80408457061781
pdam_00000046,-13.2034446322555
pdam_00000047,-10.2312655577032
pdam_00000048,-8.32899954815107
pdam_00000049,-0.29220111019483
pdam_00000050,3.36623171541096
pdam_00000051,1.04407431657226
pdam_00000052,-0.206146915135167
pdam_00000053,2.8059591624973
pdam_00000054,-2.30703112045717
pdam_00000055,-2.07429074205511
pdam_00000056,1.04527327253869
pdam_00000057,-3.90088611714722
pdam_00000062,-0.0623222887516583
pdam_00000064,-0.810947924752021
pdam_00000065,0.0664293712896613
pdam_00000066,-4.65982818804682
pdam_00000067,-1.17109983741824
pdam_00000068,-0.105895689684336
pdam_00000069,-6.21677031221422
pdam_00000070,-3.18494674995426
pdam_00000072,-0.269796856075918
pdam_00000073,-5.68946058062473
pdam_00000074,2.84131249437367
pdam_00000076,3.62143566722175
pdam_00000078,0.326606462356289
pdam_00000079,-1.09090726224777
pdam_00000080,-0.609373124842079
pdam_00000081,-1.00979887639415
pdam_00000082,-0.985535152312927
pdam_00000083,0.637931651923855
pdam_00000084,-0.806193534905696
pdam_00000085,0.00719600121784514
pdam_00000086,-0.0152322627437274
pdam_00000087,-1.35082256120136
pdam_00000088,-0.253675225498606
pdam_00000089,-0.841967758572015
pdam_00000090,-0.834446937914537
pdam_00000091,-1.40171402465688
pdam_00000092,-0.299641797649782
pdam_00000093,0.367115155917294
pdam_00000094,1.10850078884804
pdam_00000095,3.16474219177989
pdam_00000096,-0.229032789565945
pdam_00000097,1.0779334796049
pdam_00000098,2.19665451819951
pdam_00000099,-0.552831456070357
pdam_00000102,3.9559987041342
pdam_00000104,0.0121272843496463
pdam_00000105,5.51116174754347
pdam_00000106,-0.15558627216586
pdam_00000107,0.452171764980834
pdam_00000108,-0.253711843328579
pdam_00000109,0.211662912564614
pdam_00000110,4.39677843838555
pdam_00000112,0.333385148940417
pdam_00000114,5.63312805569889
pdam_00000115,-2.54164369447672
pdam_00000116,-20.4112674770124
pdam_00000117,2.93198643635227
pdam_00000118,6.07003524758885
pdam_00000120,-1.32180897392218
pdam_00000122,-1.41465599177083
pdam_00000123,0.425123725227148
pdam_00000125,-0.115345004219389
pdam_00000126,-0.0784918690907162
pdam_00000127,2.55646219631184
pdam_00000130,0.9040014722622
pdam_00000131,-0.387677849180136
pdam_00000132,2.75996034964672
pdam_00000133,0.566774159355563
pdam_00000135,1.82436406937815
pdam_00000136,-2.90923162856902
pdam_00000137,-1.44779409380118
pdam_00000138,-6.42535400444852
pdam_00000140,-11.2579107610929
pdam_00000141,1.61249025189542
pdam_00000142,-0.239745659376382
pdam_00000143,-21.9410961117692
pdam_00000144,-8.19150108350687
pdam_00000145,-24.8220650201668
pdam_00000146,-1.22641573218568
pdam_00000147,0.750282958553548
pdam_00000149,1.18786736521707
pdam_00000150,-1.80281869001259
pdam_00000151,-1.03886909015366
pdam_00000152,-1.17809464726265
pdam_00000153,-5.72325631486388
pdam_00000154,3.25166275888976
pdam_00000155,0.470424494373794
pdam_00000156,5.00150669128697
pdam_00000157,3.55115132663091
pdam_00000158,0.778959648937411
pdam_00000159,-3.10131516238446
pdam_00000160,-0.320651279338378
pdam_00000161,-0.482275158369567
pdam_00000162,0.429450494546172
pdam_00000163,2.62937629604592
pdam_00000164,-0.444626668905101
pdam_00000165,0.153213715920625
pdam_00000167,-1.17471139083596
pdam_00000168,0.0558035435678287
pdam_00000170,0.141137336609907
pdam_00000171,1.24267475193172
pdam_00000173,-0.823938851961007
