gene,logP
pdam_00000001,0.775767078369511
pdam_00000002,-0.131559321941321
pdam_00000003,0.426164541248363
pdam_00000005,0.344384058442488
pdam_00000006,-0.196584791046395
pdam_00000007,-0.427559407274592
pdam_00000008,-0.0098484320096561
pdam_00000009,-0.240991979028246
pdam_00000010,-0.216649140198893
pdam_00000011,-0.224640918442602
pdam_00000012,0.2820790803852
pdam_00000013,-0.0883321314557144
pdam_00000014,-0.224926438621575
pdam_00000015,0.0726835638013592
pdam_00000016,-0.289212656721054
pdam_00000017,-0.276685043158627
pdam_00000018,0.217906079079145
pdam_00000020,-0.987583643549426
pdam_00000021,3.13124786867956
pdam_00000022,0.13276433405805
pdam_00000023,0.950312839290601
pdam_00000024,-0.402749696014009
pdam_00000025,-0.0892812207623759
pdam_00000026,-0.485516703217222
pdam_00000027,0.167955896459102
pdam_00000028,0.132586190352687
pdam_00000029,-0.385111675607004
pdam_00000030,0.2912055505435
pdam_00000031,0.51479300277925
pdam_00000032,0.135369126502916
pdam_00000033,0.46973481914756
pdam_00000035,0.0721742177212984
pdam_00000037,-0.191720536953159
pdam_00000039,-0.855279515956981
pdam_00000041,-0.15164864520025
pdam_00000042,0.0528288948832851
pdam_00000043,-0.74972508968453
pdam_00000044,-1.19753327211686
pdam_00000045,1.14302769622033
pdam_00000046,-6.22494652299918
pdam_00000047,-4.66294933443078
pdam_00000048,-3.40901295671838
pdam_00000049,-0.0363994610398426
pdam_00000050,-0.220886855516786
pdam_00000051,-1.0283888865563
pdam_00000052,-0.378472055540894
pdam_00000053,0.532068776424259
pdam_00000054,1.45814062021875
pdam_00000055,-2.50709509921902
pdam_00000056,-0.518918702414865
pdam_00000057,-1.49980241313927
pdam_00000062,-0.138386553661681
pdam_00000064,0.708650055850579
pdam_00000065,0.293283623555241
pdam_00000066,-2.09281052761733
pdam_00000067,0.237549131344928
pdam_00000068,-0.00944763046174144
pdam_00000069,-1.44834703269517
pdam_00000070,-0.580830514744151
pdam_00000072,-0.635246464993456
pdam_00000073,-1.94614258034911
pdam_00000074,2.09325234617571
pdam_00000076,0.564061952314391
pdam_00000078,-0.967534094480736
