Gene,Hw1-4a,Hw1-4b,Hw1-4c,Hw2-4a,Hw2-4b,Hw2-4c,Wt1-4a,Wt1-4b,Wt1-4c,Wt2-4a,Wt2-4b,Wt2-4c
ACP5,181,169,128,397,296,279,167,195,467,230,150,325
ACP5,93,66,40,226,143,128,81,80,271,117,81,217
ACP5,21,18,7,18,15,13,18,16,59,24,38,59
ACP5,82,56,51,137,92,69,55,47,198,83,124,243
ACP5,39,23,12,34,33,14,15,16,35,16,7,27
ACP5,57,40,26,76,69,53,21,14,36,20,38,58
ACP5,100,66,42,107,75,84,25,18,58,23,37,64
ACP5,153,152,119,209,128,120,251,220,639,274,221,561
ACP5,39,13,18,105,34,42,29,31,91,32,29,83
ACP7,17,12,13,24,19,13,12,15,34,20,20,36
acr-16,13,10,8,14,6,12,9,12,31,19,18,40
acr-7,1,0,0,0,0,0,22,34,95,37,43,94
acsA,1,2,2,8,5,1,5,4,14,10,8,19
ACSBG2,164,120,68,238,185,127,56,47,177,68,60,147
ACSBG2,219,155,136,258,179,175,97,86,261,137,100,276
Acsf3,99,64,51,142,82,56,71,83,230,107,85,228
ACT1,6,0,3,3,2,4,10,4,17,7,4,10
acuI,34,21,6,61,43,51,33,20,73,34,17,73
Acy1,17,23,10,15,12,13,12,11,34,4,4,11
ada,165,97,80,120,90,89,33,28,103,59,96,221
Ada,189,119,101,329,195,138,86,83,225,71,87,202
Ada,49,43,28,26,20,26,20,35,61,77,68,144
Adamts20,134,91,90,150,101,128,141,151,392,158,239,399
ADAMTS9,0,1,1,0,3,2,14,17,38,2,6,7
ADCY10,272,179,159,455,230,226,140,165,362,158,212,428
ADE1,50,46,58,174,105,94,28,38,80,31,23,50
ADGB,14,15,7,176,147,133,77,48,162,87,65,217
ADGB,0,0,0,4,2,3,2,0,2,1,4,7
ADGRB3,25,18,16,66,32,36,13,14,45,8,3,19
adhA,110,87,72,148,85,78,40,42,95,36,61,109
adhC2,95,59,55,116,75,61,29,56,156,51,38,109
adhT,117,55,36,130,92,64,39,38,105,42,32,101
ADJ80_02965,17,12,13,12,16,14,13,14,35,23,16,60
ADK,49,32,33,33,14,9,24,18,71,30,23,74
ADK,9,8,4,7,8,5,12,12,43,8,3,14
ADK,286,253,219,541,338,304,107,107,240,96,45,167
ADK2,0,0,2,2,1,3,20,14,41,18,20,54
ADL1,0,1,0,0,0,0,12,12,39,24,18,31
ADL1,22,13,10,40,26,29,3,7,9,5,8,6
Adprm,183,167,191,253,160,131,94,124,265,122,103,307
adrm1b,43,36,41,95,67,45,21,25,65,28,16,57
ADS3,137,86,55,150,128,108,74,76,175,144,121,304
ADS3,71,48,46,81,69,52,45,52,116,58,68,138
AFC1,23,12,16,38,25,22,10,6,15,5,6,24
AFUA_2G14360,13,11,15,33,23,15,22,18,42,16,8,25
AG118,6,5,1,7,6,9,25,27,50,11,6,13
agaA,49,39,33,9,18,13,51,50,118,48,79,153
agaB34,103,95,68,112,80,74,66,76,209,65,54,131
AGAL3,84,75,39,89,84,50,58,48,136,52,74,150
AGAP006244,144,84,80,204,128,116,106,116,292,128,193,365
Agbl1,3,3,1,12,8,6,10,6,24,2,21,23
Agbl5,56,55,38,78,59,52,25,21,44,24,14,24
Agbl5,20,11,4,17,15,16,20,21,52,22,19,40
agbl5,18,14,16,34,24,24,23,21,70,35,34,46
AGD12,112,72,46,133,106,76,59,52,145,70,98,186
AGL,66,33,26,53,26,22,29,36,107,36,32,78
