Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
ACP5,71,127,155,259,162,106,94,183,84,235,55,74
ACP5,40,58,49,99,60,53,50,94,47,103,24,42
ACP5,15,17,22,12,4,16,19,36,20,25,6,11
ACP5,15,37,41,52,25,24,22,74,30,108,27,34
ACP5,17,23,24,16,14,5,7,14,6,11,1,2
ACP5,26,37,47,50,23,21,14,21,13,55,7,10
ACP5,31,42,36,60,18,20,10,19,6,72,3,13
ACP5,130,133,125,135,61,52,114,259,138,185,76,134
ACP5,3,14,21,56,19,11,13,24,9,34,8,13
ACP7,3,11,15,18,6,6,11,14,5,16,4,7
acr-16,0,3,3,3,4,2,7,11,7,17,5,3
acr-7,0,0,0,0,0,0,21,28,15,17,12,20
acsA,0,0,1,1,0,0,1,5,2,9,2,1
ACSBG2,62,67,98,148,75,46,22,69,27,118,22,32
ACSBG2,79,121,149,173,70,59,57,137,61,187,27,56
Acsf3,37,54,92,70,39,23,45,76,35,78,34,44
ACT1,1,0,3,1,0,5,3,3,7,2,2,7
acuI,6,7,12,22,14,6,6,24,3,36,8,7
Acy1,15,12,24,13,6,11,9,31,8,13,3,6
ada,65,95,125,61,54,56,18,56,17,161,19,30
Ada,100,107,124,177,92,77,59,105,43,158,27,41
Ada,18,24,30,22,12,4,11,25,11,40,20,17
Adamts20,87,69,90,82,40,46,92,161,120,179,50,82
ADAMTS9,0,1,1,0,0,1,13,26,14,5,1,1
ADCY10,113,113,122,177,134,80,65,146,87,266,56,86
ADE1,23,42,35,95,38,15,14,22,8,40,8,9
ADGB,8,12,5,90,59,34,33,74,26,111,19,37
ADGB,0,0,0,3,0,1,2,4,0,3,0,0
ADGRB3,9,12,10,34,8,6,2,18,4,16,2,6
adhA,65,38,62,92,67,58,19,54,35,118,22,37
adhC2,67,85,68,75,48,26,17,51,21,73,12,17
adhT,29,41,62,68,28,18,18,34,27,67,3,17
ADJ80_02965,5,11,19,16,9,10,13,12,4,11,7,11
ADK,61,39,54,25,10,12,18,33,14,24,12,14
ADK,1,1,10,7,0,1,6,22,9,4,1,3
ADK,228,253,241,367,128,93,37,75,25,129,22,29
ADK2,0,3,2,2,3,2,10,22,14,12,9,11
ADL1,0,0,0,0,0,0,8,12,7,1,5,7
ADL1,12,23,17,31,23,12,3,11,4,23,0,1
Adprm,210,149,147,148,91,90,64,152,85,207,43,56
adrm1b,30,31,39,47,38,24,14,19,20,41,7,14
ADS3,93,58,79,106,70,55,44,92,56,152,33,76
ADS3,59,39,49,64,34,41,40,60,31,89,14,32
AFC1,8,17,22,27,11,6,4,8,2,15,1,2
AFUA_2G14360,9,6,14,27,20,12,8,13,16,23,5,7
AG118,0,2,6,7,0,3,9,18,15,5,1,0
agaA,67,67,45,18,19,11,36,89,48,59,23,33
agaB34,88,96,96,95,32,38,37,86,37,69,22,20
AGAL3,28,61,62,67,33,23,30,78,34,74,20,28
AGAP006244,68,84,90,108,61,68,82,170,72,196,51,61
Agbl1,0,0,3,6,3,3,4,9,3,9,1,6
Agbl5,30,29,38,35,20,8,6,16,9,24,5,4
Agbl5,9,4,7,4,4,4,8,17,10,12,7,4
agbl5,11,18,10,18,7,12,15,20,15,19,12,14
AGD12,35,39,58,91,52,32,45,65,47,119,18,35
AGL,25,33,40,21,25,17,16,46,21,41,6,24
AGL188W,31,21,24,29,12,9,15,13,5,14,2,3
aglC,7,8,11,7,5,5,5,0,3,6,0,3
aglC,0,0,0,0,0,0,23,34,21,15,5,9
ags1,0,2,0,3,3,0,1,4,1,3,1,1
AIDA,16,30,22,28,18,13,27,32,19,60,8,15
aidB,1,1,4,0,3,3,1,5,5,5,1,3
aifA,70,66,68,123,63,60,32,58,41,122,16,25
aifB,25,41,44,30,11,18,8,29,19,21,4,2
aifB,82,67,53,88,46,52,42,82,39,100,27,49
aifB,61,48,62,42,18,19,20,31,19,21,3,11
AIP1,125,106,116,137,79,65,123,264,148,250,75,111
AIP1-1,36,74,70,194,113,95,71,131,42,133,27,53
ak1,2,0,2,2,2,3,31,51,31,6,1,2
ak1,31,34,39,53,26,14,33,81,40,64,15,27
ak1,30,40,39,46,37,23,31,73,35,95,21,19
AK1,25,27,39,44,28,6,10,39,14,57,13,5
AK7,18,28,36,48,17,15,17,35,17,47,7,12
Ak7,57,60,51,62,16,27,20,28,10,34,6,12
AK7,152,188,267,252,148,118,89,212,118,310,65,75
AK812_SmicGene10896,5,2,7,7,4,5,1,2,2,14,0,1
AK812_SmicGene10896,15,19,29,22,14,17,2,9,4,47,6,5
AK812_SmicGene11672,38,37,32,35,13,8,10,13,8,13,7,9
AK812_SmicGene12293,31,29,33,42,43,24,30,63,47,72,18,22
AK812_SmicGene12873,4,16,9,10,4,8,7,8,5,15,5,10
AK812_SmicGene13287,1,1,0,0,1,0,1,4,0,1,0,0
