Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold5298.2,3.221934295,-0.008434823,0.348744178,-0.024186275,0.980704026,0.988116274,FALSE
SymbC1.scaffold5299.1,43.50444124,-0.368421453,0.14841642,-2.482349683,0.013051912,0.035579348,TRUE
SymbC1.scaffold5299.2,36.94080343,-0.886833933,0.204491437,-4.336777852,1.45e-5,8.93e-5,TRUE
SymbC1.scaffold530.1,320.1477234,0.09310435,0.086506578,1.076269031,0.281806955,0.419452226,FALSE
SymbC1.scaffold530.3,0.049133611,0.251139803,4.122721855,0.060916019,0.951426092,NA,NA
SymbC1.scaffold530.4,10.21477115,0.238854197,0.204610816,1.167358603,0.243065582,0.375747861,FALSE
SymbC1.scaffold530.6,26.61300507,0.161567278,0.152146212,1.061921134,0.28827149,0.42662718,FALSE
SymbC1.scaffold5300.1,2.287595079,0.076362797,0.537764885,0.142000342,0.887079736,0.929095949,FALSE
SymbC1.scaffold5300.2,22.96679685,0.447584053,0.147958276,3.0250694,0.002485761,0.008549361,TRUE
SymbC1.scaffold5301.1,5.474663677,0.530543273,0.277353646,1.912876506,0.055763864,0.118179068,FALSE
SymbC1.scaffold5301.2,15.79314717,0.092270492,0.169152109,0.545488277,0.585417741,0.708361539,FALSE
SymbC1.scaffold5302.2,27.69341534,0.129902239,0.160835897,0.807669442,0.419280899,0.559811415,FALSE
SymbC1.scaffold5302.3,25.3729991,-2.561672955,0.36009184,-7.113943353,1.13e-12,2.31e-11,TRUE
SymbC1.scaffold5303.1,2.52156406,0.328858029,0.455857132,0.72140591,0.470659812,0.607970691,FALSE
SymbC1.scaffold5303.2,13.4978518,-0.148680624,0.200624654,-0.7410885,0.458639782,0.596706827,FALSE
SymbC1.scaffold5303.3,31.24809655,0.328957203,0.12632086,2.604140001,0.009210512,0.026455558,TRUE
SymbC1.scaffold5303.5,11.73380407,0.321882849,0.208843687,1.541262051,0.123253021,0.222673955,FALSE
SymbC1.scaffold5303.6,2.431996469,0.698916928,0.411721679,1.697547065,0.089593281,0.172723052,FALSE
SymbC1.scaffold5303.8,0.413516613,-1.747772421,1.049892598,-1.664715442,0.095969541,0.182780097,FALSE
SymbC1.scaffold5303.9,1.83288392,0.450201423,0.539900652,0.83385975,0.404360021,0.545909428,FALSE
SymbC1.scaffold5304.1,60.79967909,0.164087988,0.117848775,1.39236058,0.163813235,0.276907395,FALSE
SymbC1.scaffold5305.1,8.781141399,-0.570039494,0.246283656,-2.314564851,0.020636758,0.052108987,FALSE
SymbC1.scaffold5305.2,50.83839598,-0.308268757,0.180757807,-1.7054243,0.08811532,0.17035239,FALSE
SymbC1.scaffold5305.4,4.850580516,-0.209712328,0.319212044,-0.65696872,0.511201029,0.644882324,FALSE
SymbC1.scaffold5305.5,40.33715427,-0.653661507,0.138210741,-4.729455177,2.25e-6,1.65e-5,TRUE
SymbC1.scaffold5305.6,20.94042056,0.218886253,0.165743515,1.320632379,0.186623971,0.306806809,FALSE
SymbC1.scaffold5305.7,0.047060726,0.743116725,4.122399659,0.180263144,0.856945988,NA,NA
SymbC1.scaffold5306.3,2.518424678,-0.195043861,0.444952541,-0.438347561,0.661134354,0.771334434,FALSE
SymbC1.scaffold5306.4,0.01943553,0.491579208,4.122721855,0.119236569,0.905087936,NA,NA
SymbC1.scaffold5307.1,38.03889853,0.433501456,0.142656633,3.038775326,0.002375419,0.008213452,TRUE
SymbC1.scaffold5307.2,41.79793404,-0.200984709,0.121645732,-1.652213398,0.098491056,0.186395542,FALSE
SymbC1.scaffold5307.3,20.91797791,-0.129132466,0.16889029,-0.764593781,0.444513473,0.583735143,FALSE
SymbC1.scaffold5308.2,17.25621475,0.086550551,0.18316824,0.472519423,0.636556081,0.751871643,FALSE
SymbC1.scaffold531.1,12.42390093,0.582324715,0.205689725,2.83108316,0.004639066,0.014664602,TRUE
SymbC1.scaffold531.2,118.8513338,0.560596815,0.087752279,6.388401736,1.68e-10,2.51e-9,TRUE
SymbC1.scaffold531.3,34.37790649,0.658486134,0.141124392,4.665998016,3.07e-6,2.19e-5,TRUE
SymbC1.scaffold531.4,11.80613648,0.365283406,0.225641073,1.618869304,0.105475387,0.196898079,FALSE
SymbC1.scaffold531.5,1.15252416,-0.061878238,0.656308431,-0.094282254,0.924884946,0.953368722,FALSE
SymbC1.scaffold531.6,5.506129905,0.263625928,0.277522875,0.949925039,0.342150343,0.483114959,FALSE
SymbC1.scaffold531.8,31.98124441,-0.484306186,0.159097829,-3.044077902,0.002333947,0.008082032,TRUE
SymbC1.scaffold5311.1,7.103578298,0.502591104,0.300166743,1.674373046,0.094057307,0.179607343,FALSE
SymbC1.scaffold5311.2,1.045383726,-1.01087317,0.63943763,-1.580878452,0.113905832,0.209253418,FALSE
SymbC1.scaffold5312.1,62.87086437,-0.098537531,0.117247394,-0.840424066,0.40067066,0.542468808,FALSE
SymbC1.scaffold5312.3,30.14322425,0.192464431,0.131954415,1.458567569,0.144684165,0.251984837,FALSE
SymbC1.scaffold5313.1,39.63411762,0.011742013,0.129698916,0.090532856,0.927863786,0.955552653,FALSE
SymbC1.scaffold5313.2,2.315498753,-0.237926946,0.47285451,-0.50317157,0.614843652,0.733800558,FALSE
SymbC1.scaffold5314.1,45.90364096,0.21128146,0.112179824,1.883417649,0.05964379,0.125106095,FALSE
SymbC1.scaffold5314.2,91.85178225,0.120982608,0.083102153,1.45583001,0.145439617,0.253017214,FALSE
SymbC1.scaffold5315.2,94.66036441,-0.035527353,0.079817641,-0.445106525,0.656242773,0.767475386,FALSE
SymbC1.scaffold5315.4,5.605374899,2.026765046,0.393279691,5.153495319,2.56e-7,2.27e-6,TRUE
SymbC1.scaffold5316.2,4.373050198,-0.18249024,0.377785814,-0.483052123,0.629058728,0.746113735,FALSE
SymbC1.scaffold5316.3,3.79663463,0.229197634,0.351785976,0.651525784,0.514707139,0.647785834,FALSE
SymbC1.scaffold5317.1,0.887376981,-0.118190731,0.66287712,-0.178299609,0.858487686,0.91171572,FALSE
SymbC1.scaffold5317.3,3.470089829,1.189056847,0.343000181,3.466636207,5.27e-4,0.002214468,TRUE
SymbC1.scaffold5318.1,191.7527431,-0.169931299,0.080601277,-2.108295361,0.035005449,0.081020286,FALSE
SymbC1.scaffold5319.3,20.94497995,0.475568149,0.147340847,3.227673512,0.001248013,0.004698225,TRUE
SymbC1.scaffold532.1,60.48905,-0.016222486,0.119316289,-0.135962041,0.891851289,0.931860012,FALSE
SymbC1.scaffold532.2,246.6926708,-0.312753315,0.128185935,-2.439841116,0.014693723,0.039337831,TRUE
SymbC1.scaffold532.3,32.09891244,1.176904583,0.193697136,6.076004047,1.23e-9,1.62e-8,TRUE
SymbC1.scaffold532.4,1.121533134,-0.653468486,0.630327164,-1.036713192,0.299869542,0.438919307,FALSE
SymbC1.scaffold532.5,3.190250149,-0.970745364,0.435730884,-2.227855313,0.025890165,0.063066895,FALSE
SymbC1.scaffold532.7,71.6732699,0.095278921,0.104821793,0.90896099,0.363370718,0.504437696,FALSE
SymbC1.scaffold532.10,0.28458101,-0.358242534,1.213943613,-0.295106404,0.767912598,0.850243616,FALSE
SymbC1.scaffold5320.1,5.186698488,0.256222588,0.285251832,0.898232929,0.369061381,0.510272801,FALSE
SymbC1.scaffold5320.2,11.13642604,0.0021815,0.284157853,0.007677072,0.993874643,0.996180517,FALSE
SymbC1.scaffold5320.4,98.15732838,-0.156038995,0.080066262,-1.948873236,0.051310565,0.110661382,FALSE
