Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold1.278,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.284,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.301,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.303,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.306,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.308,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.309,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.312,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.317,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.319,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.324,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.326,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.327,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.329,0.031016592,0.728995032,4.122721855,0.176823724,0.859646854,NA
SymbC1.scaffold1.330,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.334,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.336,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.337,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.343,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.344,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.346,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.348,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.349,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.353,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.354,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.356,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.357,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.360,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.361,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.364,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.366,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.368,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.377,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.379,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.380,1.259142604,0.114903791,0.585603456,0.196214333,0.84444241,0.90257357
SymbC1.scaffold1.382,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.383,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.384,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.389,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.392,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.393,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.395,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.396,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.399,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.400,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.404,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.407,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.418,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.422,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.423,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.426,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.429,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.430,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.432,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.437,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.438,0,NA,NA,NA,NA,NA
