Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold1092.2,9.568813361,-0.874994001,0.272509651,-3.210873444,0.001323322,0.004944231,TRUE
SymbC1.scaffold1092.4,14.03564013,-0.491154193,0.173347716,-2.833346774,0.004606339,0.014586843,TRUE
SymbC1.scaffold1092.5,49.83398998,-0.728763206,0.187559785,-3.885498188,1.02E-04,5.16E-04,TRUE
SymbC1.scaffold10924.1,29.59082506,-0.420595693,0.144691647,-2.906841567,0.003650981,0.01193578,TRUE
SymbC1.scaffold1095.1,27.33309824,1.994025619,0.191734115,10.39995214,2.48E-25,2.05E-23,TRUE
SymbC1.scaffold1095.4,4.988562802,1.372707302,0.324474619,4.230553705,2.33E-05,1.37E-04,TRUE
SymbC1.scaffold1095.5,98.26757033,1.009277812,0.118841604,8.492630366,2.02E-17,7.40E-16,TRUE
SymbC1.scaffold1095.10,63.97274001,0.434771066,0.100431547,4.329028851,1.50E-05,9.22E-05,TRUE
SymbC1.scaffold1095.12,190.9649935,-0.239448009,0.083225664,-2.877093396,0.004013568,0.01295414,TRUE
SymbC1.scaffold10957.1,36.51940523,0.582607022,0.109782012,5.306944316,1.11E-07,1.05E-06,TRUE
SymbC1.scaffold1096.3,108.4959444,0.291898356,0.107684492,2.710681465,0.00671451,0.020121104,TRUE
SymbC1.scaffold1096.4,25.54516545,-0.478249503,0.138550414,-3.451808544,5.57E-04,0.002320161,TRUE
SymbC1.scaffold10964.3,3.243845658,-1.621294853,0.463517717,-3.497805572,4.69E-04,0.002002507,TRUE
SymbC1.scaffold10969.1,24.34717121,2.824575652,0.255233704,11.06662483,1.82E-28,1.93E-26,TRUE
SymbC1.scaffold1097.1,23.17205698,1.976281096,0.201271031,9.819004179,9.33E-23,6.01E-21,TRUE
SymbC1.scaffold1098.5,75.4436876,1.05912691,0.267609542,3.957732228,7.57E-05,3.96E-04,TRUE
SymbC1.scaffold10980.1,21.41493061,2.569241444,0.229438903,11.19793289,4.17E-29,4.70E-27,TRUE
SymbC1.scaffold10980.2,17.36569673,1.397724467,0.192925539,7.24489084,4.33E-13,9.46E-12,TRUE
SymbC1.scaffold1099.1,101.2919002,-0.60704218,0.093960722,-6.460595121,1.04E-10,1.61E-09,TRUE
SymbC1.scaffold1099.3,13.44941739,-1.188280756,0.273156468,-4.350183488,1.36E-05,8.46E-05,TRUE
SymbC1.scaffold1099.5,56.87115657,-0.37350231,0.125251601,-2.982016259,0.002863568,0.009664956,TRUE
SymbC1.scaffold1099.7,4.640328927,-1.043815071,0.359862578,-2.900593549,0.003724566,0.012140619,TRUE
SymbC1.scaffold10990.1,88.82092968,0.820071183,0.098534413,8.322688094,8.60E-17,2.95E-15,TRUE
SymbC1.scaffold10990.2,58.13593864,0.626586824,0.106452648,5.886061428,3.96E-09,4.81E-08,TRUE
SymbC1.scaffold10993.1,132.2037203,0.493116768,0.129031064,3.821690321,1.33E-04,6.52E-04,TRUE
SymbC1.scaffold10999.1,10.48005611,0.995152473,0.21156352,4.703799932,2.55E-06,1.84E-05,TRUE
SymbC1.scaffold110.4,35.46368587,-0.780908125,0.133678024,-5.841709081,5.17E-09,6.16E-08,TRUE
