baseMean,log2FoldChange,sig
9.121176678,-1.795404025,TRUE
2.224051664,-1.793818771,TRUE
11.19917622,-1.789288665,TRUE
24.59686357,-1.787530039,TRUE
0.866768742,-1.785911062,TRUE
5.444402542,-1.777661469,TRUE
23.48772145,-1.777468563,TRUE
44.09331665,-1.776715619,TRUE
16.33334555,-1.776654415,TRUE
1.017094753,-1.776316469,TRUE
3.336100065,-1.775432144,TRUE
1.357179177,-1.773625197,TRUE
2.434460805,-1.768682998,TRUE
3.812188726,-1.766683944,TRUE
6.097608919,-1.764244952,TRUE
1.980164214,-1.759723158,TRUE
26.34110033,-1.757628169,TRUE
18.63114024,-1.756903217,TRUE
5.460646772,-1.754482033,TRUE
0.34459364,-1.753911865,FALSE
3.566570781,-1.753213917,TRUE
0.413904597,-1.75077168,FALSE
78.5435201,-1.748468614,TRUE
4.790759122,-1.748058097,TRUE
30.91629367,-1.744249632,TRUE
4.83848926,-1.741621529,TRUE
11.90042811,-1.741257527,TRUE
6.365181886,-1.740926055,TRUE
9.856753107,-1.740871647,TRUE
15.11499527,-1.740255492,TRUE
0.630316658,-1.736204067,FALSE
24.33745963,-1.736198637,TRUE
1.778134732,-1.729416091,TRUE
3.94806375,-1.724146251,TRUE
6.20675151,-1.721945396,TRUE
798.5212367,-1.71947172,TRUE
5.827525402,-1.716777094,TRUE
3.063663708,-1.714331929,TRUE
15.81578373,-1.711766077,TRUE
1.146137807,-1.709985023,TRUE
4.61849105,-1.705842033,TRUE
13.42635962,-1.705628826,TRUE
0.622231584,-1.704743169,FALSE
7.637659029,-1.703618584,TRUE
97.07320525,-1.702753386,TRUE
40.36648497,-1.700611408,TRUE
18.60299922,-1.699209977,TRUE
6.204479832,-1.694616,TRUE
1.790033831,-1.693307932,TRUE
4.059857434,-1.686891123,TRUE
10.24724257,-1.686663585,TRUE
1.629776527,-1.685937299,TRUE
15.97903854,-1.685598208,TRUE
57.12133194,-1.684069625,TRUE
1.696330354,-1.683977017,TRUE
0.483561487,-1.68299754,FALSE
29.79022795,-1.674528737,TRUE
8.714389881,-1.672570023,TRUE
16.96559896,-1.667046371,TRUE
3.937317162,-1.659884684,TRUE
0.420791331,-1.653578667,FALSE
17.01382616,-1.652714357,TRUE
5.734294819,-1.650273773,TRUE
20.41999308,-1.649432797,TRUE
10.06209019,-1.64845493,TRUE
9.907123577,-1.646103589,TRUE
7.916506507,-1.645821207,TRUE
22.91853301,-1.642822668,TRUE
1.951075097,-1.642622139,TRUE
37.44479827,-1.640348385,TRUE
1.802933366,-1.639086994,TRUE
8.942796991,-1.638126489,TRUE
4.331468046,-1.633084679,TRUE
18.19036667,-1.630418849,TRUE
2.353528897,-1.63009182,TRUE
33.16710843,-1.628941887,TRUE
3.244657867,-1.62398143,TRUE
31.19832155,-1.621156494,TRUE
13.66751925,-1.619394307,TRUE
5.226691782,-1.617074046,TRUE
9.253906617,-1.615474747,TRUE
81.56501821,-1.61409867,TRUE
4.907851985,-1.607092784,TRUE
8.945586672,-1.606653541,TRUE
9.92730018,-1.60653345,TRUE
22.96029574,-1.602903815,TRUE
8.459364329,-1.601552632,TRUE
6.207323462,-1.600737313,TRUE
3.387490241,-1.59803252,TRUE
43.99544523,-1.595643322,TRUE
14.33093751,-1.593305886,TRUE
0.814243923,-1.591884801,FALSE
2.59291071,-1.589337607,TRUE
0.522780471,-1.588686059,FALSE
3.523275471,-1.58684939,TRUE
21.54485884,-1.586281511,TRUE
0.369752582,-1.585015565,FALSE
15.29743788,-1.584918142,TRUE
0.80484384,-1.583235274,FALSE
2.319802092,-1.582524681,TRUE
31.2643513,-1.579010302,TRUE
54.59798268,-1.569409154,TRUE
0.434763026,-1.567793407,FALSE
1.974084126,-1.567645187,TRUE
3.310166738,-1.553258565,TRUE
3.613955701,-1.552714754,TRUE
35.44481718,-1.551064616,TRUE
5.543612083,-1.550025128,TRUE
14.14237873,-1.548562222,TRUE
0.831567826,-1.548139065,FALSE
19.40781728,-1.545686842,TRUE
37.55789226,-1.542857458,TRUE
31.42265632,-1.538577962,TRUE
9.375832168,-1.535463591,TRUE
47.70649514,-1.534696611,TRUE
3.86847653,-1.531512027,TRUE
1.839346645,-1.530195541,TRUE
1.159373379,-1.528536219,FALSE
11.64488329,-1.524737039,TRUE
67.13730251,-1.522480614,TRUE
5.434982614,-1.5217784,TRUE
0.776536799,-1.521146605,FALSE
57.51692836,-1.520882737,TRUE
17.42496307,-1.517687825,TRUE
41.84944845,-1.517652319,TRUE
2.839651456,-1.517467421,TRUE
35.279695,-1.516987187,TRUE
2.905206614,-1.516528782,TRUE
31.60758759,-1.515525257,TRUE
0.69424297,-1.514489149,FALSE
5.220574212,-1.514125658,TRUE
4.591305984,-1.511268217,TRUE
35.42882005,-1.510163906,TRUE
1.775961323,-1.510141068,TRUE
13.16263122,-1.50646846,TRUE
36.77995736,-1.50513953,TRUE
2.572082004,-1.504682083,TRUE
50.18294357,-1.502968841,TRUE
9.228914135,-1.502565905,TRUE
1.430082646,-1.499322379,TRUE
45.14019852,-1.496517846,TRUE
1.594946455,-1.493643696,TRUE
19.86846586,-1.492971731,TRUE
20.09185307,-1.492445553,TRUE
49.50163065,-1.490502808,TRUE
3.321171237,-1.48844589,TRUE
27.91522412,-1.483558546,TRUE
0.467263842,-1.483426398,FALSE
4.480505649,-1.48336666,TRUE
48.47793631,-1.483300788,TRUE
5.461472359,-1.481739875,TRUE
7.198577692,-1.480183205,TRUE
2.070572507,-1.478815963,FALSE
7.53242404,-1.475538687,TRUE
1.62928067,-1.471481615,TRUE
5.165713295,-1.470243186,TRUE
2.869393332,-1.469538925,TRUE
8.689303699,-1.467557707,TRUE
32.88845122,-1.466681549,TRUE
23.86725984,-1.46624328,TRUE
25.26974468,-1.463974327,TRUE
2.619293832,-1.46211698,TRUE
1.557682772,-1.460957129,TRUE
0.990209205,-1.458883107,FALSE
105.8264452,-1.458049738,TRUE
11.1870652,-1.457663516,TRUE
108.7925832,-1.456577457,TRUE
22.50572443,-1.454938259,TRUE
2.872378738,-1.453791566,TRUE
4.42187399,-1.451559583,TRUE
0.59412558,-1.44753047,FALSE
9.735632501,-1.444768629,TRUE
18.33285981,-1.444681978,TRUE
26.01631856,-1.4418767,TRUE
51.0368359,-1.440779668,TRUE
3.655426493,-1.437177936,TRUE
1.882714352,-1.433999379,TRUE
9.634391261,-1.432637125,TRUE
4.47249218,-1.432321177,TRUE
44.28719774,-1.432052867,TRUE
208.8694847,-1.431806917,TRUE
17.23275265,-1.430843945,TRUE
3.889010336,-1.429663057,TRUE
21.74262224,-1.426545905,TRUE
16.08120465,-1.422802935,TRUE
3.532203755,-1.421776732,TRUE
2.780693061,-1.421556323,TRUE
149.1703973,-1.421188766,TRUE
16.62264154,-1.420064047,TRUE
117.1552219,-1.418216815,TRUE
4.112106842,-1.417700017,TRUE
1.273454986,-1.416690743,FALSE
4.045696815,-1.41564485,TRUE
6.443550034,-1.414297372,TRUE
6.242466164,-1.411927102,TRUE
1.131806845,-1.410424924,TRUE
16.21923706,-1.410215544,TRUE
1.377779948,-1.409603277,FALSE
8.005446734,-1.409345871,TRUE
45.06519604,-1.408049649,TRUE
2.127455153,-1.4076858,TRUE
31.16909223,-1.405673753,TRUE
0.842394881,-1.405634407,FALSE
1.367528225,-1.404771879,TRUE
21.71466704,-1.397072418,TRUE
27.31631041,-1.396535624,TRUE
0.502218409,-1.393185605,FALSE
2.275177836,-1.391622961,TRUE
30.03113788,-1.389925045,TRUE
18.37606798,-1.389450463,TRUE
3.490908296,-1.388852851,TRUE
1.441104098,-1.388049643,TRUE
11.68644258,-1.385704406,TRUE
53.14900742,-1.384669964,TRUE
18.83775512,-1.382868016,TRUE
157.9379253,-1.382485903,TRUE
12.48192451,-1.382018339,TRUE
0.704739567,-1.379846896,FALSE
8.749366561,-1.378908467,TRUE
45.91223777,-1.378553432,TRUE
13.75853326,-1.376225554,TRUE
10.69065878,-1.374815284,TRUE
38.97160787,-1.372077872,TRUE
21.7416775,-1.370808602,TRUE
5.003304044,-1.36670066,TRUE
11.9007015,-1.366089599,TRUE
0.927618856,-1.365649547,FALSE
0.469333949,-1.365444989,FALSE
56.77319104,-1.365021433,TRUE
