Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold10778.3,14.30727836,-0.556970324,0.191431993,-2.909494466,0.003620138,0.011822447
SymbC1.scaffold10778.4,33.02726575,-0.519544918,0.151548655,-3.428238393,6.08e-4,0.002502
SymbC1.scaffold1079.2,105.5545769,0.271252402,0.091512704,2.964095578,0.00303574,0.010169576
SymbC1.scaffold10792.1,25.79912121,-1.004894542,0.164646954,-6.10332908,1.04e-9,1.38e-8
SymbC1.scaffold108.3,50.01505539,-0.392140018,0.115421871,-3.397449835,6.8e-4,0.002754367
SymbC1.scaffold1080.2,4.402615696,-1.115486114,0.331261541,-3.367387923,7.59e-4,0.003037693
SymbC1.scaffold10803.1,303.9867553,-0.571003596,0.093541826,-6.10425966,1.03e-9,1.38e-8
SymbC1.scaffold10806.1,25.80286163,-0.460980087,0.162160663,-2.842736821,0.004472799,0.014187016
SymbC1.scaffold10811.1,93.94274582,0.251434803,0.084746233,2.966914215,0.003008049,0.010092239
SymbC1.scaffold10811.2,57.39326467,0.823285701,0.104368752,7.8882394,3.06e-15,8.84e-14
SymbC1.scaffold10812.2,0.390729844,2.63524446,1.112643651,2.36845324,0.017862638,0.046235269
SymbC1.scaffold10816.1,21.85735725,0.553338747,0.16650515,3.323253042,8.9e-4,0.00348483
SymbC1.scaffold1082.2,154.240672,-0.723644735,0.099408652,-7.279494466,3.35e-13,7.46e-12
SymbC1.scaffold1082.7,93.50474468,-0.328259495,0.093041635,-3.528092505,4.19e-4,0.001810353
SymbC1.scaffold10827.1,24.36265166,0.990042788,0.169761396,5.831966569,5.48e-9,6.48e-8
SymbC1.scaffold1083.2,35.20264142,0.621708787,0.150297313,4.136526291,3.53e-5,1.99e-4
SymbC1.scaffold1083.5,27.74440529,-0.446767639,0.14126849,-3.162542744,0.001563978,0.005714872
SymbC1.scaffold10830.1,12.48192451,-1.382018339,0.240253373,-5.752336882,8.8e-9,1e-7
SymbC1.scaffold1084.2,26.94520379,-0.499472792,0.130918668,-3.815138061,1.36e-4,6.65e-4
SymbC1.scaffold1084.3,4.62604887,-0.779646532,0.291272353,-2.676692531,0.007435283,0.02200475
SymbC1.scaffold1084.4,28.44270807,-0.6833803,0.230522262,-2.964487218,0.003031878,0.010159551
SymbC1.scaffold1086.4,2.59291071,-1.589337607,0.490049218,-3.24322037,0.001181868,0.004471291
SymbC1.scaffold10863.1,111.2283082,0.457937408,0.086306592,5.305937807,1.12e-7,1.06e-6
SymbC1.scaffold1087.1,82.99261955,-0.242824505,0.080998039,-2.997905978,0.002718415,0.009225137
SymbC1.scaffold1087.3,290.5167774,0.222295317,0.066546393,3.340456276,8.36e-4,0.003303538
SymbC1.scaffold1087.4,176.3575006,0.347414247,0.077604241,4.476743052,7.58e-6,4.99e-5
SymbC1.scaffold1087.11,34.85010812,-0.400990669,0.115264383,-3.478877513,5.04e-4,0.002126655
SymbC1.scaffold1087.13,28.57535364,-0.599884801,0.139022966,-4.315005043,1.6e-5,9.75e-5
SymbC1.scaffold1087.14,101.5520002,-0.464304553,0.095171175,-4.878625829,1.07e-6,8.39e-6
SymbC1.scaffold10873.2,71.14199784,-0.430733491,0.090651529,-4.751530324,2.02e-6,1.49e-5
SymbC1.scaffold1088.2,207.1974414,1.020018238,0.158996015,6.415369844,1.4e-10,2.14e-9
SymbC1.scaffold1088.3,11.78757991,-0.495059543,0.20175134,-2.453810431,0.014135148,0.03796538
SymbC1.scaffold10889.1,2.848002379,-1.222792851,0.453619825,-2.695633621,0.007025489,0.020964412
SymbC1.scaffold10891.1,5.845402483,-0.96519682,0.302821054,-3.187350438,0.001435827,0.005309817
SymbC1.scaffold10892.1,4.093904852,1.384012723,0.330964831,4.181751639,2.89e-5,1.66e-4
SymbC1.scaffold10894.2,4.47249218,-1.432321177,0.352407319,-4.064391119,4.82e-5,2.63e-4
SymbC1.scaffold1090.3,14.3716727,1.65510335,0.489215725,3.383176922,7.17e-4,0.002886588
SymbC1.scaffold1090.4,16.31972723,1.602416395,0.313502799,5.111330423,3.2e-7,2.79e-6
SymbC1.scaffold10902.3,6.609012062,-1.055264491,0.296401326,-3.560255638,3.7e-4,0.001622238
SymbC1.scaffold10903.1,8.478595594,0.776310405,0.252141332,3.078870082,0.002077873,0.007303943
SymbC1.scaffold10906.2,52.29206065,0.330936517,0.107729732,3.071914416,0.002126907,0.007440516
SymbC1.scaffold10908.1,17.8372095,-0.770579524,0.216340045,-3.561890383,3.68e-4,0.001613376
SymbC1.scaffold1091.1,35.56476379,0.559691686,0.128601841,4.352128099,1.35e-5,8.37e-5
SymbC1.scaffold1091.2,213.8598441,0.198447724,0.083728971,2.370120179,0.017782304,0.046057921
SymbC1.scaffold1091.3,103.067941,-0.347033722,0.097715045,-3.551487102,3.83e-4,0.001671941
SymbC1.scaffold1092.2,9.58855894,-0.859830187,0.271936707,-3.161876152,0.001567562,0.005725286
SymbC1.scaffold1092.4,14.03589255,-0.49383612,0.173532898,-2.845778098,0.004430306,0.014078968
SymbC1.scaffold1092.5,110.5577388,1.171420612,0.241439136,4.851825725,1.22e-6,9.49e-6
SymbC1.scaffold10924.1,29.59504237,-0.423301892,0.144817546,-2.923001426,0.003466749,0.011377126
SymbC1.scaffold1095.1,27.3201084,1.991136363,0.191841829,10.37905221,3.09e-25,2.57e-23
SymbC1.scaffold1095.4,4.987668642,1.370115975,0.32478986,4.218469064,2.46e-5,1.44e-4
SymbC1.scaffold1095.5,98.25516213,1.006446399,0.119082081,8.451703174,2.87e-17,1.03e-15
SymbC1.scaffold1095.10,63.96546155,0.432016353,0.100488447,4.29916441,1.71e-5,1.04e-4
SymbC1.scaffold1095.12,191.300111,-0.238164862,0.082893059,-2.873158078,0.004063907,0.013072701
SymbC1.scaffold10957.1,36.51496268,0.579865876,0.109883695,5.277087546,1.31e-7,1.23e-6
SymbC1.scaffold1096.3,108.4975965,0.289089935,0.107825407,2.681092927,0.007338214,0.021753259
SymbC1.scaffold1096.4,25.61982564,-0.46850507,0.137757352,-3.400944225,6.72e-4,0.002725061
SymbC1.scaffold10964.3,3.244657867,-1.62398143,0.463767883,-3.50171172,4.62e-4,0.001972067
SymbC1.scaffold10969.1,24.33285102,2.821619165,0.255405512,11.04760484,2.25e-28,2.39e-26
SymbC1.scaffold1097.1,23.16219142,1.973404516,0.201438101,9.796580236,1.16e-22,7.42e-21
SymbC1.scaffold1098.5,75.42310426,1.056174751,0.267574772,3.947213499,7.91e-5,4.1e-4
SymbC1.scaffold10980.1,21.40527581,2.566497373,0.229612682,11.17750708,5.25e-29,5.88e-27
SymbC1.scaffold10980.2,17.36088894,1.394970597,0.193091263,7.224410755,5.03e-13,1.09e-11
SymbC1.scaffold1099.1,101.3089691,-0.609751027,0.093999612,-6.48673984,8.77e-11,1.38e-9
SymbC1.scaffold1099.3,13.45390152,-1.191068391,0.273378058,-4.356854391,1.32e-5,8.22e-5
SymbC1.scaffold1099.5,56.87841222,-0.376383204,0.125428247,-3.000785003,0.002692846,0.009156734
SymbC1.scaffold1099.7,4.643151122,-1.046644031,0.360232142,-2.905470965,0.003667009,0.011962152
