Gene	Hw2-1a	Hw2-1b	Hw2-1c
cgt	144	74	42
rihB	226	96	109
RPT1A	150	72	68
Atp5b	182	83	51
Os01g0197200	156	98	60
LEUA	130	82	49
proRS	84	68	53
ECA1	85	63	22
AK812_SmicGene28950	56	37	20
Dnah5	233	116	95
Ctob_010821	105	59	31
AK812_SmicGene13956	168	98	73
aifA	123	63	60
CSB	95	66	44
PDK	47	12	24
At4g34450	154	82	78
VPS11	33	29	19
NOP14	32	16	13
Dync1h1	100	58	58
THIC	316	167	125
Clk1	53	32	22
eIF-2gamma	291	221	179
frs-2	58	47	30
ttc30a	170	119	69
THO3	55	27	19
CHR23	17	6	5
tnaA	40	23	28
HISN4	43	15	11
AK812_SmicGene36	20	7	7
pckA	116	62	45
modA	42	13	21
AK812_SmicGene43656	15	7	6
AK812_SmicGene26895	121	63	39
SUF4	75	49	34
CCT6A	305	187	155
At3g62310	39	28	19
Ranbp2	71	31	28
Eftud2	301	188	117
Psmc6	124	59	47
At1g09620	152	74	61
AK812_SmicGene42205	5	1	3
ap1b1	27	22	18
FNTB	30	25	14
