Gene	Hw1-1a	Hw1-1b	Hw1-1c
IMPA4	103	107	156
STK33	104	109	157
AK812_SmicGene13956	106	132	129
Atp5b	106	108	149
CLPB1	106	151	195
ttc30a	108	129	159
SPAC4G8.04	113	63	98
RPT1A	115	100	126
Dnah5	120	128	146
rihB	124	145	193
AIP1	125	106	116
At1g09620	144	146	194
RPN2A	163	183	235
THIC	167	187	231
ruvbl1	180	193	243
BTU1	183	200	159
Eftud2	195	254	307
CCT6A	237	194	238
eIF-2gamma	279	180	243
yojK	331	290	303
