Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
DDX5,65,91,93,74,113,36,74,52,42,93,22
DDX51,22,41,42,26,34,9,31,11,15,33,9
ddx52,37,39,30,28,20,13,18,10,7,30,7
Ddx54,54,105,88,79,96,49,73,66,59,146,35
DDX55,138,187,191,167,196,44,105,49,39,90,30
ddx6,195,272,249,253,292,160,220,142,159,296,87
def,23,22,26,17,24,11,14,17,20,32,14
DEGP2,12,16,7,9,10,5,5,18,10,20,10
denD,152,187,182,132,156,40,104,48,34,113,40
Depdc5,7,10,10,8,25,8,19,11,21,28,7
der,141,179,150,155,160,91,117,102,74,192,65
DER2.2,618,561,453,455,461,177,297,160,122,249,109
DES5,77,118,109,70,122,44,83,30,38,72,26
DESI1,134,196,141,149,154,62,99,67,61,157,54
DET1,39,56,53,40,42,36,32,30,31,67,17
DGAT2D,8,14,9,9,4,19,8,30,29,39,12
DGK3,246,307,309,183,225,117,139,85,89,235,55
Dgkg,7,7,7,5,7,4,2,9,8,26,3
DHAR2,44,54,55,39,54,30,43,27,21,50,16
DHC10,7,16,32,4,78,17,39,20,13,49,10
DHH1,47,67,45,53,48,30,40,38,38,50,19
Dhps,409,462,397,353,413,112,257,124,132,290,107
DHRS13,15,24,15,25,11,19,12,14,17,30,8
DHRSX,95,109,101,125,157,58,115,67,66,155,56
dhx29,17,29,19,21,21,26,20,26,39,58,17
DHX30,9,7,10,1,9,3,5,8,15,26,7
DHX8,35,61,50,40,41,36,35,61,57,121,40
DIP13,195,195,197,253,322,46,161,71,47,104,48
disp1,108,129,166,87,96,64,57,47,46,84,22
DIT2-1,87,106,102,72,90,40,60,55,53,100,25
dj-1beta,89,108,99,81,71,23,47,44,46,74,23
DJ1B,40,38,57,31,46,10,26,17,21,31,4
dkgB,378,417,422,360,376,194,284,221,205,482,162
dlcA,35,65,46,45,36,12,29,10,7,28,7
dld,206,240,194,159,172,175,155,170,172,357,117
dlpC,401,507,479,432,501,172,312,189,192,419,110
Dmc1,7,9,10,4,3,9,5,15,14,27,14
dmdB,37,64,76,30,46,12,29,16,22,45,10
Dml,12,4,11,10,6,10,10,5,6,16,8
DMXL2,150,223,228,169,217,88,146,71,47,181,52
DNAAF1,107,127,152,92,104,40,88,45,67,113,33
Dnah2,0,1,3,0,4,3,4,2,4,6,1
Dnah3,5,8,5,0,5,5,4,4,6,8,6
Dnah5,354,382,398,354,470,106,282,134,126,284,74
DNAH8,130,160,146,121,145,13,77,33,28,53,27
DNAH9,10,6,17,3,16,10,8,5,11,14,4
dnaJ2,6,9,4,2,7,16,11,28,25,50,0
Dnajb12,94,137,126,90,128,56,76,57,45,105,26
dnajb14,35,41,36,24,15,20,14,9,13,26,14
DNAJB2,47,60,38,40,43,36,43,34,39,69,29
Dnajb4,126,162,161,106,122,64,68,57,63,124,43
Dnajb8,197,192,182,189,180,31,93,59,58,100,41
Dnajb9,53,64,64,29,42,15,42,19,19,59,17
Dnajc12,64,85,109,84,92,34,57,37,36,78,22
DNAJC17,47,35,37,46,54,31,38,36,30,69,21
dnajc21,29,40,30,42,52,13,28,16,22,40,21
Dnajc28,117,175,160,168,136,34,112,40,49,108,36
DNAJC5B,23,27,17,16,19,7,10,3,9,8,3
Dnajc9,30,38,43,37,33,18,18,8,15,35,17
dnj-20,68,95,129,59,79,48,68,40,48,137,32
dnm1l,16,24,21,18,17,9,11,5,1,15,7
Dnm2,4,4,8,9,9,13,7,4,6,21,6
DODA,368,388,372,309,334,209,249,223,212,376,115
Dpagt1,228,306,303,198,243,114,168,111,105,228,73
DPOL,63,91,75,117,154,48,123,57,59,124,45
DPP7,35,36,22,25,26,4,11,9,8,14,8
DPP8,55,110,94,89,84,55,63,54,59,110,37
DRC3,427,452,491,483,565,153,360,155,173,343,89
drc7,21,15,19,19,27,28,35,36,43,77,31
DRM2,32,45,21,22,24,11,19,7,16,34,15
drp35,347,372,386,351,307,154,205,161,193,286,98
DRP3B,7,13,17,9,17,5,21,7,10,31,6
DRS2,20,20,12,20,19,10,9,14,13,38,11
dsaVM,216,322,281,179,256,123,147,139,169,312,116
DSP4,84,81,81,76,80,31,53,27,25,69,17
DTC,108,160,138,127,156,78,102,58,73,128,37
Dtd1,25,34,30,23,32,11,22,4,10,10,2
dthadh,85,109,99,64,106,27,72,18,35,39,15
DTX3,27,37,42,55,73,24,32,22,31,56,20
DTX36,129,203,186,107,131,47,86,69,67,141,43
Dtx3l,149,196,192,138,122,41,76,41,44,84,32
DTX47,112,148,163,176,206,77,130,78,85,175,60
DTX8,79,113,127,77,113,30,85,48,43,92,30
DUS3,41,49,42,36,30,16,23,18,21,47,17
dusp1-a,20,35,31,57,63,17,35,21,22,30,13
DUSP5,62,88,106,26,72,29,42,21,20,52,16
DUSP9,25,35,37,20,41,13,26,22,18,46,16
dVPE,136,184,179,128,152,88,93,73,75,138,46
dxs,34,56,58,80,131,66,112,71,77,146,40
Dync1h1,170,212,233,146,170,73,112,55,56,113,41
Dynll2,165,169,181,176,139,98,110,96,92,165,78
Dynlrb1,183,114,103,124,182,37,110,59,74,104,31
EB1C,22,29,26,32,46,12,33,13,9,30,5
ebh,413,530,490,403,540,278,343,293,295,502,151
