Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
Abcb4,110,166,198,161,162,54,119,42,38,95,21
ABCB4,86,121,147,82,196,95,149,96,97,222,49
ABCC1,1,1,3,2,1,1,4,3,3,6,2
ABCC1,8,13,10,12,11,15,8,14,16,28,4
ABCC1,9,18,21,12,13,16,12,25,22,48,16
ABCC1,43,52,67,44,46,44,43,39,30,82,28
ABCC1,45,58,51,93,130,65,70,68,67,147,60
ABCC1,27,27,43,30,86,54,53,36,31,55,27
ABCC2,90,97,88,88,96,36,65,32,30,83,31
ABCC2,25,37,33,30,22,20,16,21,26,57,18
Abcc2,78,126,99,165,165,44,91,36,63,105,37
ABCC4,206,268,367,148,208,96,183,99,98,264,77
ABCC4,270,372,408,258,336,262,259,234,164,451,126
ABCG2,51,61,54,45,39,34,38,33,36,85,27
Abcg2,244,270,313,225,228,61,142,60,56,129,42
abhd13,146,196,165,177,98,36,71,28,27,67,15
abhd13,19,33,20,63,67,15,29,16,23,37,17
abhd13,95,99,92,84,91,23,72,29,16,47,14
Abhd17b,114,157,155,119,114,24,67,27,25,55,9
ABHD17B,119,149,152,104,134,117,83,103,115,200,50
abkC,222,292,263,199,199,44,94,45,41,81,27
abkC,13,7,9,6,9,4,6,7,12,16,5
ACAC,138,185,214,155,170,100,115,122,121,234,79
ACAC,18,19,24,19,21,14,21,17,20,36,9
ACAD11,34,40,37,30,37,27,30,19,31,44,21
ACAD11,22,34,26,23,18,9,12,17,11,34,3
ACC1,2,3,1,5,4,9,4,3,3,12,3
ACC1,227,279,271,216,231,96,147,70,104,202,54
accA,8,9,27,9,30,21,13,12,21,30,13
accA,2,5,5,2,11,9,10,6,4,10,6
accA,0,4,5,0,8,13,2,4,5,12,4
ACF2,4,24,21,28,23,12,15,23,12,32,15
ACF2,48,47,78,39,48,27,35,33,19,52,18
ACF2,9,9,19,20,19,17,27,19,11,31,5
ackA,186,213,177,152,180,67,115,70,71,202,39
ackA,41,50,43,37,49,25,29,22,31,58,24
Acly,72,69,77,64,83,13,45,18,13,36,11
Acly,251,345,389,356,523,225,358,254,266,453,172
Acly,622,784,809,499,616,607,510,521,521,991,313
ACP5,33,38,37,39,97,62,56,31,44,101,28
ACP5,71,79,73,47,65,76,49,64,83,131,35
ACP5,28,47,45,66,36,16,35,5,7,22,5
ACP5,30,39,39,21,52,29,27,18,30,44,14
ACP5,235,330,308,453,639,211,543,550,379,509,216
ACP5,145,172,193,237,309,115,181,122,140,299,99
ACP5,52,50,43,25,27,28,28,16,38,77,21
ACP5,110,150,170,81,153,87,98,76,88,178,64
ACP5,46,74,64,60,38,17,45,21,18,50,10
ACP5,131,175,160,117,94,29,60,21,29,60,24
ACP5,117,178,167,133,163,39,90,25,32,74,28
ACP5,309,289,362,233,264,394,238,325,360,740,236
ACP5,40,58,70,85,122,55,76,52,48,98,20
ACSBG2,213,277,254,253,327,65,154,72,90,152,56
ACSBG2,324,428,437,334,378,126,272,143,155,298,109
ada,253,325,311,216,198,70,127,62,50,129,51
Ada,239,306,336,290,418,136,251,125,113,241,77
Ada,68,75,75,38,36,9,16,18,47,88,42
ADGB,21,29,28,215,228,94,149,91,83,229,66
ADGB,0,0,0,0,6,3,4,6,2,7,2
ADK,104,104,99,45,58,40,37,36,37,87,36
ADK,8,11,13,8,8,15,11,16,13,46,3
ADK,395,499,546,518,746,152,420,182,163,304,90
ADL1,0,0,0,0,0,20,4,21,24,38,16
ADL1,28,48,37,44,65,5,27,4,5,12,3
ADS3,220,309,287,284,223,91,169,94,102,199,96
ADS3,122,141,121,117,126,59,93,64,54,138,41
Agbl5,104,118,123,79,98,24,65,19,15,45,10
Agbl5,18,27,27,22,26,21,19,21,16,43,15
agbl5,32,38,28,20,41,23,33,21,36,60,27
aglC,30,40,36,8,13,7,9,3,9,16,4
aglC,0,0,0,0,0,27,21,38,26,38,8
aifB,49,81,86,42,49,25,34,36,43,73,16
aifB,118,138,130,162,166,94,117,92,132,264,85
aifB,78,103,95,42,69,35,51,43,34,77,10
ak1,3,5,5,10,5,40,16,55,59,104,4
ak1,67,91,89,68,135,87,76,100,84,179,33
ak1,131,135,127,147,160,72,100,89,87,138,65
AK1,93,115,162,72,199,43,120,45,42,92,28
AK7,95,161,139,94,143,53,64,53,44,97,24
Ak7,135,127,106,108,103,25,66,16,21,60,15
AK7,559,626,539,424,574,214,321,196,222,441,132
AK812_SmicGene10896,16,22,11,10,14,1,13,0,2,3,1
AK812_SmicGene10896,59,60,62,50,69,3,30,5,4,15,5
AK812_SmicGene13287,1,2,0,3,2,0,0,0,2,6,0
AK812_SmicGene13287,6,11,8,8,10,12,12,9,9,20,9
AK812_SmicGene1336,187,226,244,198,149,115,129,131,109,265,78
AK812_SmicGene1336,27,40,41,25,40,41,28,31,45,73,39
AK812_SmicGene14513,184,232,259,160,198,112,154,81,90,201,78
AK812_SmicGene14513,29,39,36,29,68,39,33,23,23,47,15
AK812_SmicGene1499,0,0,0,0,0,35,6,28,32,67,23
AK812_SmicGene1499,0,0,2,0,0,21,4,14,21,26,6
AK812_SmicGene18235,2,0,0,0,0,3,0,4,3,8,4
AK812_SmicGene18235,13,17,18,16,15,16,6,15,21,44,13
AK812_SmicGene18235,10,6,9,10,2,6,3,4,7,16,6
AK812_SmicGene18235,4,4,7,3,4,2,5,3,3,6,5
AK812_SmicGene18302,11,15,11,12,12,0,4,3,6,9,4
AK812_SmicGene18302,79,63,76,38,39,23,26,27,23,50,18
AK812_SmicGene19840,16,22,22,19,18,6,14,7,8,9,7
AK812_SmicGene19840,47,61,99,51,97,28,50,20,16,45,10
AK812_SmicGene20119,9,8,8,6,13,12,10,11,19,28,7
AK812_SmicGene20119,20,34,40,28,45,30,24,23,45,55,22
AK812_SmicGene20295,8,13,12,20,20,0,12,0,0,0,0
AK812_SmicGene20295,6,5,4,11,12,0,9,0,0,0,0
AK812_SmicGene21627,26,35,27,25,25,19,18,29,27,49,16
AK812_SmicGene21627,897,1150,1091,953,1338,540,816,487,510,1025,338
AK812_SmicGene24054,7,9,4,8,4,31,17,44,58,85,26
AK812_SmicGene24054,7,7,16,8,10,14,14,31,23,42,12
AK812_SmicGene24289,203,189,177,188,219,77,120,86,97,188,76
AK812_SmicGene24289,266,311,285,242,223,117,161,110,79,215,78
AK812_SmicGene25158,36,49,51,40,54,17,34,12,11,28,10
AK812_SmicGene25158,101,101,116,116,131,69,99,71,80,160,58
AK812_SmicGene25788,51,34,47,24,44,13,34,17,35,49,31
AK812_SmicGene25788,2,1,0,3,3,7,2,6,10,12,6
AK812_SmicGene25788,40,63,57,43,87,53,48,38,51,90,29
AK812_SmicGene25788,1,4,4,15,34,25,19,22,18,28,3
AK812_SmicGene25788,74,122,156,66,182,119,123,89,125,248,67
AK812_SmicGene25788,10,34,30,16,64,87,54,48,59,113,34
AK812_SmicGene25788,232,334,357,193,475,162,334,159,219,385,106
AK812_SmicGene25788,17,24,20,6,31,32,29,28,29,69,30
AK812_SmicGene25788,72,86,94,38,84,100,67,61,92,163,78
AK812_SmicGene25788,17,28,29,71,133,64,90,54,60,104,36
AK812_SmicGene25788,18,24,16,79,107,38,67,44,45,93,29
AK812_SmicGene31214,139,187,189,99,151,113,98,100,105,250,75
AK812_SmicGene31214,1,2,2,1,5,1,1,1,0,5,1
AK812_SmicGene37828,54,53,71,61,59,42,43,49,38,97,36
AK812_SmicGene37828,201,226,233,229,224,218,122,204,198,407,141
AK812_SmicGene40181,231,229,231,169,174,80,114,93,74,196,76
AK812_SmicGene40181,0,4,4,2,6,1,4,4,6,3,8
AK812_SmicGene40583,129,145,190,133,175,73,110,55,73,163,46
AK812_SmicGene40583,203,222,239,136,178,52,123,45,46,128,29
AK812_SmicGene41645,32,28,37,51,74,27,39,20,21,54,18
AK812_SmicGene41645,23,31,39,24,36,9,21,14,11,19,9
AK812_SmicGene43415,105,87,92,69,88,37,47,39,22,54,19
AK812_SmicGene43415,1,2,4,3,4,4,5,8,6,15,7
AK812_SmicGene5851,42,54,68,19,35,37,25,43,28,64,23
AK812_SmicGene5851,53,60,50,33,45,15,19,26,21,33,10
AKR1,43,45,42,25,27,12,35,9,15,24,9
AKR1,106,138,150,124,138,137,92,92,109,225,53
akr1,70,87,83,67,60,29,58,40,37,64,17
alaS,149,212,218,132,149,76,103,76,64,154,69
alaS,111,127,145,55,79,29,77,30,49,76,20
Aldh3a1,198,204,185,327,371,135,255,135,119,326,95
Aldh3a1,133,186,164,146,150,67,117,84,92,201,53
ALDH3A1,45,43,58,69,75,35,54,36,40,89,25
ALG11,61,71,66,32,22,7,21,14,5,25,12
ALG11,137,159,143,147,91,11,75,22,12,45,13
ALG11,556,674,642,522,443,173,301,96,115,250,81
ALKBH3,238,261,229,149,126,124,126,98,116,229,76
ALKBH3,57,55,38,48,61,6,32,15,13,25,12
Alkbh3,137,152,142,107,122,25,67,31,34,55,36
Alkbh3,263,344,338,163,240,80,166,68,88,164,52
Alkbh3,55,67,51,39,56,31,36,47,34,82,24
Amacr,15,14,10,11,13,0,6,0,7,3,2
Amacr,34,31,28,13,13,0,17,0,1,8,0
amt-3,70,97,102,81,95,52,64,68,65,141,38
amt-3,176,216,213,123,169,28,89,22,17,60,14
amt-3,41,43,50,21,25,6,16,6,13,11,5
amt-3,111,154,128,133,119,24,67,32,23,67,28
AMT1-1,231,303,297,157,171,146,148,129,173,276,121
AMT1-1,184,253,275,230,223,86,145,82,89,151,59
AMT1-2,113,148,209,77,95,17,73,21,20,52,13
AMT1-2,71,104,100,57,115,46,46,43,41,81,29
amy,69,67,91,63,96,52,74,26,30,65,13
amy,8,17,17,6,24,20,15,14,20,33,11
amy,82,99,111,65,93,84,56,73,70,187,46
AMY1.1,48,85,87,14,54,27,46,29,30,34,18
AMY1.1,90,105,87,42,29,28,31,31,24,62,12
AMY1.6,51,64,59,20,29,19,19,10,11,28,9
AMY1.6,52,83,57,31,35,7,20,11,16,23,8
Ank1,33,38,35,24,32,14,19,13,8,28,7
ANK1,72,61,60,69,100,13,50,25,24,68,19
ANK1,285,299,189,224,187,71,142,81,66,144,49
ANK1,117,156,167,138,192,47,96,47,56,127,35
ANK1,112,126,126,125,95,60,78,70,69,122,44
ANK1,51,66,76,29,71,27,41,33,34,57,20
ANK1,11,4,15,1,8,8,5,14,22,48,15
ANK1,19,22,21,15,6,20,9,16,25,45,19
Ank1,30,37,29,18,19,9,11,7,7,19,7
Ank1,72,89,79,15,16,8,15,11,18,21,12
ANK1,3,4,6,6,4,5,5,3,8,15,2
ANK1,100,121,159,77,162,104,96,77,77,177,52
ANK2,94,119,120,92,93,41,61,33,30,76,26
ANK2,2,1,0,1,2,13,6,4,13,32,12
ANK2,127,142,163,98,92,53,70,44,41,73,32
ANK2,254,319,286,286,278,159,234,183,212,423,141
Ank2,93,154,123,79,82,53,59,63,66,155,44
Ank2,224,256,255,259,262,101,159,79,96,191,63
ANK2,7,10,11,20,52,22,21,24,12,31,13
ANK2,24,30,29,19,27,8,16,16,13,17,9
ANK2,100,111,138,135,155,83,129,79,73,174,46
ANK2,42,61,78,51,62,11,52,24,29,58,19
ANK2,144,206,184,119,153,120,110,140,153,320,103
ANK2,50,49,64,14,21,40,15,75,86,176,73
ANK3,10,6,12,3,6,12,15,27,29,31,1
Ank3,295,315,304,195,241,124,172,164,148,244,45
ANK3,2,0,0,3,0,0,0,0,0,2,1
ANK3,195,239,266,171,236,85,138,76,97,221,55
Ank3,59,59,64,95,126,36,79,43,37,96,17
ANK3,84,97,80,63,74,22,40,20,22,42,15
ANK3,116,152,157,101,187,87,91,83,91,178,64
ANK3,433,445,554,276,465,149,259,191,208,319,113
ANK3,227,245,194,203,168,32,117,57,48,82,34
Ank3,223,265,245,171,212,77,111,102,85,207,55
ANK3,2,2,0,2,3,0,3,1,3,0,3
Ank3,48,47,66,32,46,15,34,14,23,40,7
ANK3,99,124,97,101,92,38,54,29,31,66,21
ANK3,32,45,43,20,24,20,26,17,14,39,15
ANK3,3,3,4,4,3,16,4,22,25,43,7
Ank3,208,275,294,224,357,170,262,155,169,352,83
Ank3,136,130,157,100,127,40,85,48,70,105,39
ANKK1,127,163,180,157,143,118,110,117,117,310,82
ANKK1,6,3,5,56,51,15,33,12,17,34,6
Ankk1,112,102,131,73,99,47,73,31,40,77,21
ANKK1,64,74,70,56,61,34,54,36,26,96,30
ankrd1,83,68,108,37,50,50,50,28,59,89,19
ANKRD1,82,87,83,69,106,48,79,59,57,118,40
ANKRD1,139,159,131,125,166,56,102,75,75,118,56
ANKRD17,10,10,10,13,10,9,16,11,7,19,6
ANKRD17,12,22,13,1,1,11,4,7,16,38,14
ANKRD17,11,8,13,16,9,7,11,13,19,27,4
Ankrd17,176,252,241,255,254,85,171,96,98,255,78
ANKRD17,142,157,136,103,98,43,62,55,53,100,21
Ankrd17,346,491,444,371,376,158,285,126,164,395,106
ANKRD17,150,216,218,231,254,109,160,123,141,242,88
ANKRD50,24,22,25,33,20,2,17,11,5,11,2
ANKRD50,4,7,1,7,0,1,1,1,0,1,0
ANKRD50,101,139,149,90,93,63,79,68,72,142,38
ANKRD50,25,27,23,24,17,42,19,17,30,52,19
ANKRD50,92,92,97,65,130,71,101,94,102,218,57
ANKRD50,11,8,18,4,9,3,7,2,6,20,7
ANKRD50,57,74,60,63,74,29,69,44,47,64,23
ANKRD50,543,688,672,554,594,211,379,230,238,457,162
ANKRD50,26,30,42,18,53,31,39,21,20,53,22
ANKRD50,12,8,17,9,16,5,8,7,6,17,3
ANKRD50,137,177,140,109,76,54,57,42,37,80,25
ANKRD50,28,37,40,23,36,31,35,16,11,40,7
ANKRD50,138,137,126,97,130,66,75,63,59,106,34
ANKRD50,39,48,56,19,33,13,34,14,8,33,15
ankrd52,27,18,42,31,31,9,20,22,15,33,11
ankrd52,165,232,216,176,144,53,106,64,66,154,53
ankrd52,65,80,75,70,85,53,64,46,66,100,27
ankrd54,85,79,81,71,115,10,52,11,12,26,21
Ankrd54,7,20,19,12,15,18,10,16,13,22,9
ANKS1A,102,160,124,119,115,73,70,53,53,133,65
ANKS1A,6,11,5,6,12,11,7,18,5,32,5
ANP2,109,132,116,34,39,39,27,30,28,77,28
ANP2,65,72,97,80,77,50,63,58,53,108,40
ANP2,14,18,17,4,3,6,13,1,7,17,4
ap1g1,52,71,58,59,124,36,69,45,58,97,38
ap1g1,62,58,63,31,77,73,47,58,60,161,51
Ap1g1,33,42,49,61,79,21,54,11,16,22,12
apdG,60,74,77,63,88,58,63,52,52,114,50
apdG,158,190,142,84,88,59,77,62,60,124,40
APUM5,50,55,62,62,57,16,42,19,13,38,13
APUM5,42,56,61,32,69,45,49,41,50,94,37
APUM5,212,264,309,74,183,218,195,256,299,492,140
AQP5,0,0,1,62,67,23,43,27,19,36,1
AQP5,109,149,142,129,153,40,87,44,51,96,27
Aqp5,251,300,359,267,335,99,204,106,135,243,79
Aqr,3,9,8,4,9,7,6,7,8,11,0
AQR,133,173,190,165,199,98,117,113,113,257,110
ARB_01444,132,200,232,101,190,58,96,57,81,115,50
ARB_01444,51,53,38,44,71,27,44,25,30,46,22
arcA,2,8,2,25,35,12,33,11,21,32,16
arcA,8,6,6,25,61,23,32,20,21,43,20
ARF1,64,64,65,49,30,28,36,28,34,52,18
ARF1,115,166,127,151,140,43,98,54,48,94,29
ARF1,126,135,108,114,93,30,47,29,20,62,21
arf1,129,165,160,135,147,47,77,42,48,108,37
argF,143,174,151,95,109,40,62,42,40,96,35
argF,20,29,27,22,30,10,21,11,8,22,5
argG,446,378,416,294,474,276,425,342,432,679,227
argG,26,28,32,55,47,22,33,23,25,67,13
argH2,1,1,0,5,11,10,5,7,6,17,0
argH2,3,0,1,0,0,2,0,1,3,4,1
aroB',3,7,11,5,4,1,4,1,1,10,1
aroB',12,23,23,12,21,9,18,9,4,16,7
ARP,47,83,51,51,51,29,38,36,33,85,19
ARP,102,123,114,104,124,46,83,81,59,136,65
Arsb,230,307,263,163,219,45,119,35,45,98,28
Arsb,18,20,14,15,9,15,11,15,19,27,16
Arsb,174,228,287,238,251,121,191,140,156,301,109
Arsb,46,63,77,78,97,50,66,47,37,84,27
Arsb,124,183,198,168,206,99,137,95,119,244,72
aspC,3,4,1,3,9,49,12,28,32,69,18
aspC,170,194,216,153,188,77,108,71,76,172,41
ASPH,264,315,272,187,215,70,157,65,72,159,48
ASPH,53,77,58,46,42,14,25,17,22,31,16
ASPH,168,201,208,144,157,82,103,79,71,174,57
ASPH,93,110,110,91,84,31,50,47,46,93,32
ASPM,100,149,184,67,130,42,76,34,37,108,23
ASPM,174,213,205,144,144,30,86,45,43,97,35
At1g05670,16,13,17,16,25,4,13,20,27,39,16
At1g05670,7,5,9,4,2,14,12,27,29,29,0
At1g09900,6,7,10,14,8,9,9,12,6,32,6
At1g09900,8,5,13,9,20,10,13,14,24,48,12
At1g09900,5,4,6,4,11,5,2,7,4,18,5
At1g09900,11,7,7,4,8,1,6,4,7,12,5
At1g28120,70,109,98,77,100,81,70,74,68,150,42
At1g28120,321,332,312,210,255,98,166,88,79,201,56
At1g31730,5,10,6,1,7,7,6,8,8,14,2
At1g31730,122,139,125,92,102,75,80,79,72,166,46
At1g62670,7,5,8,5,9,4,6,4,7,15,1
At1g62670,241,325,294,250,325,100,184,74,73,163,53
At1g70730,176,209,195,214,331,89,214,96,124,234,75
At1g70730,229,284,338,263,325,66,193,67,60,151,42
At2g31400,10,5,8,2,2,0,1,4,10,9,6
At2g31400,9,7,11,7,9,10,7,2,17,27,10
At2g31400,5,5,7,1,1,3,3,1,6,14,6
At2g31400,193,223,221,181,227,88,134,80,85,200,58
At2g31400,5,8,8,8,4,3,3,5,6,22,5
At2g31400,10,13,12,14,11,5,9,11,9,27,12
At2g31400,2,2,5,5,3,4,1,3,8,16,2
At2g31400,16,11,5,8,20,4,11,12,17,24,18
At2g31400,24,35,34,26,26,28,19,27,26,46,16
At2g31400,46,40,26,46,42,30,36,33,30,59,15
At2g31400,70,75,90,59,79,87,73,82,84,186,55
At2g31400,9,23,19,8,7,1,8,1,1,3,3
At2g31400,92,104,97,87,92,80,88,77,80,164,53
At2g31400,5,9,11,4,6,1,2,1,4,4,1
At2g32000,8,15,15,13,11,1,8,11,13,29,28
At2g32000,109,148,127,114,111,38,60,29,37,81,19
At2g41451,23,22,27,17,22,23,9,30,24,38,8
At2g41451,145,166,153,92,135,87,104,127,114,192,59
At2g42005,54,74,65,29,59,9,27,14,20,28,11
At2g42005,301,341,296,241,283,214,197,192,203,418,121
At3g02090,143,174,140,147,173,73,115,74,75,176,60
At3g02090,79,96,104,88,133,89,91,118,99,206,58
At3g04760,150,193,210,139,164,91,121,98,95,218,69
At3g04760,30,31,30,18,40,25,25,23,23,61,21
At3g04760,123,167,184,122,152,106,145,101,108,206,75
At3g04760,41,54,47,61,45,28,37,37,46,87,25
At3g21620,40,40,46,69,64,33,45,27,29,55,17
At3g21620,83,83,98,55,137,73,78,65,90,164,59
At3g42180,27,26,39,33,29,33,33,24,30,49,16
At3g42180,14,14,11,9,17,11,18,13,22,34,11
At3g57810,7,13,15,11,13,1,4,4,0,5,2
At3g57810,30,45,42,35,25,7,21,4,17,22,7
At4g02900,293,341,370,202,201,140,147,95,149,259,100
At4g02900,166,223,242,150,208,90,141,93,103,223,66
At4g17486,10,7,2,5,7,6,3,11,11,19,6
At4g17486,23,27,32,63,67,45,62,44,32,104,24
At4g17486,35,56,55,42,86,54,64,38,39,83,26
At4g17486,140,179,171,180,180,87,139,71,79,159,46
At4g17486,4,6,10,40,28,10,33,10,22,33,12
At4g17486,80,100,112,83,85,66,73,67,72,139,45
At5g02860,31,38,32,19,22,4,16,18,35,46,26
At5g02860,216,247,215,180,206,60,134,62,64,141,40
At5g02860,14,8,6,11,8,8,7,5,10,12,3
At5g02860,48,62,60,38,67,47,36,33,32,69,22
At5g02860,6,2,8,9,8,18,10,14,14,27,2
At5g41170,190,187,200,140,144,71,83,76,72,123,36
At5g41170,94,128,145,109,193,127,124,95,91,215,75
At5g42310,4,6,4,1,7,3,8,5,1,14,6
At5g42310,6,3,5,5,4,0,4,5,6,10,4
At5g65000,111,142,116,122,117,36,81,39,28,77,25
At5g65000,6,14,13,10,11,6,5,7,8,17,7
At5g65000,76,59,64,48,73,41,45,58,60,92,16
ATAD3B,3,3,5,8,17,6,9,7,8,20,1
ATAD3B,2,7,0,3,9,3,5,1,6,12,2
ATAD3B,11,7,10,14,12,8,11,11,6,21,10
ATG18A,116,154,138,64,82,41,52,44,39,73,29
ATG18A,15,8,12,11,19,71,41,97,89,177,81
ATG18A,18,30,21,25,9,12,15,16,21,24,13
ATG18A,48,61,48,69,84,28,88,38,45,98,26
ATG18A,29,54,35,3,3,10,5,7,3,8,3
ATG18A,51,51,35,21,18,33,21,45,50,77,43
ATG18A,36,36,27,32,52,19,37,29,21,43,17
ATG18A,50,43,43,51,37,12,34,22,12,37,6
ATG18A,223,183,149,127,159,70,97,77,61,95,36
ATG18A,74,109,82,146,152,70,139,59,75,160,52
ATG18A,221,324,299,230,239,70,163,72,60,148,41
ATG18A,16,23,22,21,8,6,4,5,10,24,14
ATG18A,103,115,110,43,42,19,35,24,21,64,26
ATG18A,198,219,226,149,176,134,160,120,121,275,100
ATG18A,8,7,3,8,5,12,8,14,11,29,12
ATG18A,38,39,55,49,49,21,44,29,26,67,22
ATG18A,7,5,3,6,0,41,17,51,43,71,6
ATG18A,19,15,22,0,0,13,3,10,22,42,19
ATG8,111,112,86,67,61,27,33,23,18,55,19
ATG8,107,140,108,178,152,116,112,125,108,187,57
ATO,41,43,35,27,47,29,33,32,41,74,20
ATO,107,144,85,98,121,67,90,66,87,179,57
ATP5A1,370,402,477,286,406,137,265,149,167,333,111
Atp5a1,183,258,257,228,294,105,164,92,95,177,74
ATP6V1D,381,345,336,318,400,147,295,201,148,309,108
ATP6V1D,67,65,53,77,69,15,54,17,17,37,14
atpD,28,28,14,24,23,42,31,46,38,45,25
atpD,24,14,8,13,23,14,30,17,22,14,13
atpE,139,197,176,207,195,79,144,93,97,159,66
atpE,215,226,264,250,354,95,209,113,121,246,65
atpE,30,41,34,25,22,12,26,11,9,27,8
atpG,91,122,136,93,131,123,142,144,174,247,101
atpG,257,300,381,351,406,65,288,68,81,197,75
atpG,58,79,97,63,121,34,79,48,59,108,31
atpH,104,94,98,88,170,33,92,53,50,61,30
atpH,574,745,694,736,848,194,521,212,256,495,156
atpI,499,624,623,533,546,204,391,232,245,524,170
atpI,121,148,115,128,93,52,62,51,36,116,36
ATXR2,1,1,4,5,4,5,6,7,6,3,8
ATXR2,13,24,24,10,12,8,5,9,8,18,6
AVT4,50,50,51,45,41,42,44,19,29,61,21
AVT4,114,133,134,104,177,87,101,80,61,140,50
bacA,341,377,306,235,276,140,223,162,108,272,49
bacA,530,674,634,566,578,319,372,309,293,668,227
BB0433,8,5,13,9,11,21,11,17,18,38,15
BB0433,66,74,100,39,43,27,32,33,38,54,20
BCE_0519,114,123,145,101,191,144,122,120,130,230,78
BCE_0519,45,57,72,41,102,32,66,39,36,83,29
BCE_0519,177,211,259,177,343,111,225,120,113,266,98
BCE_0519,51,43,53,49,92,39,63,40,19,68,25
BCHE,8,13,8,58,68,5,51,2,8,13,12
BCHE,40,45,74,17,39,3,27,4,3,11,4
BCHE,78,100,97,75,106,26,57,40,29,68,25
BCHE,47,66,69,57,48,37,40,45,39,100,37
BETAC-AD,332,402,538,263,344,124,230,147,132,300,115
BETAC-AD,23,19,21,12,23,0,11,0,0,1,0
bglX,158,198,232,152,217,46,147,50,66,91,51
bglX,14,10,9,12,17,8,11,7,8,15,6
bgs1,14,11,28,1,10,3,6,4,7,9,7
bgs1,6,3,9,6,6,8,9,9,10,11,6
bgs4,2,9,6,5,16,3,3,8,3,8,0
bgs4,167,229,191,161,164,48,86,60,53,118,37
BIP5,154,176,169,137,134,112,109,150,129,287,94
BIP5,353,479,422,472,531,374,357,293,301,673,273
BIP5,295,383,432,410,657,522,509,465,491,1002,329
BMH1,69,75,66,59,62,24,41,22,19,53,15
BMH1,117,161,159,166,219,102,141,142,137,298,83
BMY1,17,21,32,9,14,17,11,26,18,38,13
BMY1,236,311,279,188,185,93,126,82,85,165,54
BN938_1370,181,224,222,130,143,26,83,30,35,56,15
BN938_1370,24,22,22,8,11,3,9,1,0,6,1
BPM2,100,110,121,89,150,20,83,57,41,81,35
BPM2,416,415,384,395,452,248,296,272,309,585,205
bPT2,175,204,182,206,207,114,130,98,115,236,54
bPT2,124,121,141,105,174,46,103,56,56,106,34
bPT2,189,191,230,282,368,254,296,231,256,567,152
BSPAL1,21,35,31,17,24,19,25,13,16,27,13
BSPAL1,5,8,5,1,4,3,3,4,5,11,3
BSU1,8,14,7,16,8,3,6,6,7,7,10
BSU1,27,57,38,8,5,59,14,49,45,108,35
btbd6a,49,72,63,53,65,28,37,12,23,47,11
btbd6a,26,25,30,33,25,8,13,19,11,25,11
btbd6a,7,10,8,9,8,9,13,10,8,12,3
btbd6a,6,3,7,17,12,10,6,1,12,12,3
BUB3.2,2,2,2,1,2,17,5,10,15,19,7
BUB3.2,77,84,99,52,62,32,39,26,40,59,17
BXL6,44,58,45,30,59,30,44,85,35,124,49
BXL6,302,393,327,311,331,164,242,162,192,363,121
C1GALT1,5,14,8,12,9,5,3,5,10,20,6
C1GALT1,44,57,29,29,32,11,19,12,17,34,8
CAC,119,169,178,174,177,97,127,100,91,207,61
cac,26,31,19,15,24,4,12,3,1,6,5
cac,57,70,94,52,72,64,47,47,60,95,31
CACNA1A,28,45,46,30,39,20,16,23,15,33,18
CACNA1A,17,23,20,8,25,17,11,4,12,26,15
CACNA1A,4,10,16,6,37,9,25,13,6,31,3
CACNA1B,18,21,23,31,24,27,9,40,36,87,21
CACNA1B,85,121,104,114,121,107,83,92,113,191,69
Cacna1c,3,6,4,6,1,1,2,1,0,1,0
CACNA1C,19,21,16,13,10,10,8,10,8,42,13
CACNA1C,138,168,158,121,137,37,99,56,32,67,20
CACNA1C,221,243,255,182,209,78,167,90,102,201,72
Cacna1c,5,3,5,6,4,27,14,22,21,59,18
Cacna1c,41,45,54,43,54,37,50,33,19,62,20
CACNA1C,138,154,142,121,143,8,81,8,9,19,10
Cacna1c,3,3,0,2,9,6,4,4,5,17,0
CACNA1C,142,192,188,137,151,85,104,63,64,149,47
CACNA1C,94,89,77,73,69,10,44,13,13,36,6
CACNA1D,108,120,137,107,111,79,99,49,59,158,40
Cacna1d,79,92,107,72,113,80,82,57,63,122,56
Cacna1d,48,59,61,47,61,38,49,21,45,66,20
Cacna1e,69,97,88,73,81,50,74,72,50,100,36
CACNA1E,51,70,74,1,0,60,13,65,54,102,23
Cacna1e,90,124,112,58,59,37,42,46,38,73,28
Cacna1e,14,13,22,8,11,9,7,10,10,15,4
CACNA1F,18,15,13,17,18,11,17,15,15,28,2
CACNA1F,105,120,106,69,67,50,66,52,48,133,31
Cacna1g,26,32,23,23,42,28,17,14,22,41,14
CACNA1G,28,50,38,43,39,8,26,18,17,35,7
CACNA1G,31,47,52,62,61,4,40,4,14,23,11
CACNA1G,138,163,142,154,164,83,99,70,85,144,45
CACNA1G,41,32,29,28,26,15,22,22,26,39,18
Cacna1g,160,213,171,153,182,126,127,107,102,194,70
CACNA1G,76,71,93,32,26,14,14,11,9,33,17
Cacna1g,149,181,178,146,202,105,112,90,130,210,83
CACNA1H,14,12,10,16,13,8,15,7,14,33,14
CACNA1H,108,140,134,120,140,106,117,102,91,257,70
Cacna1h,14,29,21,16,18,5,8,8,5,17,1
Cacna1h,110,118,91,87,67,33,46,38,34,76,22
CACNA1H,2,3,2,6,2,11,2,7,6,18,5
