baseMean,log2FoldChange,sig
171.6039385,-0.263566095,TRUE
108.7127359,-0.180968772,TRUE
4.628339347,0.884396364,TRUE
55.64395813,-0.602569379,TRUE
26.03074757,0.422063703,TRUE
50.82257186,-0.297460268,TRUE
34.2901845,-0.399689318,TRUE
4.634920371,1.27339472,TRUE
45.15340261,-0.933514351,TRUE
1.383451099,2.037263022,TRUE
13.16027586,1.098407048,TRUE
9.395323613,-0.90083688,TRUE
54.24199575,-1.205475781,TRUE
0.988727239,2.383716915,TRUE
40.320507,-0.593566145,TRUE
2.041842594,-2.253153554,TRUE
51.40027812,-0.739836875,TRUE
5.216346883,-0.964120141,TRUE
45.04290618,0.543294047,TRUE
14.21970371,0.603649803,TRUE
48.13892563,-0.880529433,TRUE
34.06139362,-0.559835038,TRUE
1.585702747,-1.802130485,TRUE
50.43660814,-0.257455526,TRUE
93.68648752,0.741031737,TRUE
89.53050066,-0.205301608,TRUE
39.58446304,-0.36219276,TRUE
61.78943008,-0.445448096,TRUE
66.742103,0.806920118,TRUE
10.97108248,0.964418599,TRUE
142.278238,0.694850306,TRUE
3.096229072,4.369700659,TRUE
61.55285991,0.901147161,TRUE
10.04906939,1.156452309,TRUE
36.20280945,-0.534687911,TRUE
41.94148861,-0.285521675,TRUE
2.088320226,1.432737207,TRUE
61.74272088,-0.93342509,TRUE
33.99745224,-0.38699775,TRUE
127.0387587,-0.243041922,TRUE
21.42681813,0.452349954,TRUE
68.19088545,-0.69310365,TRUE
18.94735021,-1.193839086,TRUE
86.90836434,-0.650010106,TRUE
87.71355393,0.233421199,TRUE
54.06098768,-0.706880223,TRUE
30.77680121,5.383190134,TRUE
2.810705649,1.193317595,TRUE
18.53230589,1.312511468,TRUE
33.36083941,-0.543255534,TRUE
21.682492,-0.951155385,TRUE
2.731140909,-1.094681832,TRUE
12.95584869,-0.537932755,TRUE
37.3712207,-0.659943757,TRUE
8.585484942,-0.562555888,TRUE
30.31196887,5.511044168,TRUE
52.58984056,7.287776241,TRUE
2.987446992,1.359826354,TRUE
18.83070437,-1.380067891,TRUE
38.98586247,0.430355319,TRUE
123.2696746,0.263059055,TRUE
32.73737019,0.424608389,TRUE
88.38248914,0.912142132,TRUE
33.89546785,0.501694802,TRUE
66.97708519,0.44226884,TRUE
77.52684748,0.51967275,TRUE
0.718014141,2.861381505,TRUE
20.22665355,-0.404463948,TRUE
371.8095433,-0.801300251,TRUE
8.031754369,-0.929191564,TRUE
85.91246716,-0.325449113,TRUE
9.395204749,0.94977845,TRUE
9.10081905,0.521661627,TRUE
16.06179623,0.77085783,TRUE
14.64794933,-0.445417386,TRUE
4.680614181,1.515944407,TRUE
13.12375948,1.077273322,TRUE
133.3240276,0.746941055,TRUE
13.34564809,0.724760196,TRUE
184.5092744,0.242945022,TRUE
67.62910101,0.914697197,TRUE
19.54867978,0.947776175,TRUE
43.79877502,0.470785624,TRUE
11.13183525,-0.953288538,TRUE
41.67943473,-0.43389745,TRUE
44.36531388,-0.471016131,TRUE
13.58764829,1.069418713,TRUE
45.1476225,-0.449093412,TRUE
43.42655525,-0.839818555,TRUE
26.62246205,0.711168404,TRUE
16.17932242,-0.694684279,TRUE
131.598047,-0.504035169,TRUE
249.8850193,0.550511547,TRUE
3.815248079,1.830930965,TRUE
18.25595288,1.908098533,TRUE
19.91499033,-0.508414566,TRUE
20.96921727,-0.449579286,TRUE
13.56299682,1.362371217,TRUE
16.79380439,-0.524630028,TRUE
120.7437701,0.559606891,TRUE
11.45065802,-0.76586294,TRUE
1.371134693,4.086212376,TRUE
17.36359988,-0.456208846,TRUE
49.12912668,-0.335086016,TRUE
31.46585352,-0.457273875,TRUE
12.23889854,0.533755797,TRUE
74.749328,0.657019136,TRUE
12.29936449,0.783356801,TRUE
6.177665451,1.369329378,TRUE
14.64403215,7.712123241,TRUE
12.3949045,1.21068088,TRUE
66.13697334,0.798215036,TRUE
33.38313721,0.372383254,TRUE
3.910320965,1.434004247,TRUE
13.40098987,-0.521619901,TRUE
37.79884365,-0.362775086,TRUE
82.15536033,-0.505253217,TRUE
12.16028249,-0.64870013,TRUE
9.231044311,-1.002838948,TRUE
21.68238134,-0.803342675,TRUE
11.64642895,0.667286103,TRUE
16.28854806,0.445664321,TRUE
40.69055655,-0.794890863,TRUE
30.42199621,0.531662442,TRUE
96.0363036,0.617230193,TRUE
12.59936496,0.980238429,TRUE
12.6913227,1.102292517,TRUE
9.058678387,0.660950783,TRUE
2.736387028,4.339735987,TRUE
0.750855626,2.505361954,TRUE
4.763891527,4.195806884,TRUE
38.15926931,0.612884299,TRUE
87.47165531,-0.312231248,TRUE
48.869034,-0.420569615,TRUE
19.01214028,0.490293436,TRUE
22.48721065,0.462898008,TRUE
5.586864018,1.463740746,TRUE
26.04049208,-0.462351151,TRUE
86.93078506,0.560523962,TRUE
6.9811752,4.630520355,TRUE
275.6738834,-0.214135424,TRUE
21.72646006,0.977942426,TRUE
50.79222998,0.866107068,TRUE
4.607320672,2.124564746,TRUE
